bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1232.680332;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1698.404607;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1162.994855;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3109.052032;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1600.419373;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1096.77598;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1316.662444;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1594.126249;0;0;0;1;1;0;100;1;1.1;0.9
9;1;888.3816036;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1294.521128;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1343.547373;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1994.649662;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1587.21628;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2239.584343;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1209.161483;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2682.634654;0;0;0;1;1;0;100;1;1.1;0.9
17;1;791.1743499;0;0;0;1;1;0;100;1;1.1;0.9
18;1;900.0779733;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2794.935277;0;0;0;1;1;0;100;1;1.1;0.9
