bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1287.861719;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1774.434312;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1215.056746;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3248.229886;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1672.062733;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1145.873559;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1375.603321;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1665.487895;0;0;0;1;1;0;100;1;1.1;0.9
9;1;928.1503318;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1352.470841;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1403.691763;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2083.940885;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1658.268598;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2339.840158;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1263.29004;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2802.723778;0;0;0;1;1;0;100;1;1.1;0.9
17;1;826.5915598;0;0;0;1;1;0;100;1;1.1;0.9
18;1;940.3702938;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2920.05158;0;0;0;1;1;0;100;1;1.1;0.9
