bus;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h24
1;647.9483519;681.8850582;684.0790406;740.4768361;786.036981;811.5945418;844.5276179;859.2086277;888.7807094;898.3579872;944.9139822;998.6432105;1010.033247;1092.63435;1100.033205;1086.604788;1052.839244;1066.23654;1092.875532;1086.81485;1084.79981;1072.569525;1076.195042;1003.171217
2;322.5577139;339.451879;340.544074;368.619682;391.3001567;404.0230664;420.4176104;427.7260215;442.4474157;447.215118;470.3913407;497.1384989;502.8086175;543.928597;547.6118503;540.9269973;524.1180389;530.7873998;544.048661;541.0315691;540.0284539;533.9400478;535.7448806;499.3926034
3;322.5577139;339.451879;340.544074;368.619682;391.3001567;404.0230664;420.4176104;427.7260215;442.4474157;447.215118;470.3913407;497.1384989;502.8086175;543.928597;547.6118503;540.9269973;524.1180389;530.7873998;544.048661;541.0315691;540.0284539;533.9400478;535.7448806;499.3926034
4;0.327764403;0.344931272;0.346041097;0.374569898;0.397616478;0.41054476;0.427203943;0.434630325;0.449589351;0.454434012;0.477984343;0.505163251;0.510924896;0.552708629;0.556451337;0.549658578;0.532578291;0.539355308;0.552830631;0.549764838;0.54874553;0.542558846;0.544392812;0.507453741
5;1298.612672;1366.628335;1371.025497;1484.057487;1575.368749;1626.590999;1692.595194;1722.018752;1781.286871;1800.481571;1893.788707;2001.472377;2024.300193;2189.848633;2204.677357;2177.764236;2110.091614;2136.942364;2190.332009;2178.185241;2174.146713;2149.634879;2156.90111;2010.547369
6;51.33916791;54.02808942;54.20192617;58.67051673;62.28040311;64.30541622;66.91481667;68.07804338;70.42114073;71.17998126;74.86877226;79.1259231;80.0283947;86.57316309;87.15939976;86.09542027;83.42006049;84.48157421;86.5922728;86.11206421;85.95240564;84.98335828;85.27062041;79.48469255
7;602.3515586;633.9001039;635.9396935;688.368718;730.7227485;754.4817974;785.097339;798.745231;826.2362949;835.1396097;878.4194114;928.3676585;938.9561662;1015.744544;1022.622735;1010.139289;978.7498609;991.204376;1015.968755;1010.334569;1008.461329;997.091702;1000.462088;932.5770243
8;322.5577139;339.451879;340.544074;368.619682;391.3001567;404.0230664;420.4176104;427.7260215;442.4474157;447.215118;470.3913407;497.1384989;502.8086175;543.928597;547.6118503;540.9269973;524.1180389;530.7873998;544.048661;541.0315691;540.0284539;533.9400478;535.7448806;499.3926034
9;32.14256994;33.82605745;33.93489364;36.73260133;38.9926891;40.26051497;41.89421571;42.62249195;44.0894649;44.5645619;46.87405049;49.53937941;50.10440135;54.20196826;54.56900096;53.9028617;52.22786496;52.89246044;54.21393252;53.91328219;53.8133227;53.20661881;53.3864687;49.76399879
10;602.3515586;633.9001039;635.9396935;688.368718;730.7227485;754.4817974;785.097339;798.745231;826.2362949;835.1396097;878.4194114;928.3676585;938.9561662;1015.744544;1022.622735;1010.139289;978.7498609;991.204376;1015.968755;1010.334569;1008.461329;997.091702;1000.462088;932.5770243
11;827.2138219;870.539671;873.3406544;945.341819;1003.50692;1036.135397;1078.179945;1096.922696;1134.676376;1146.903363;1206.339833;1274.934128;1289.475403;1394.929447;1404.375317;1387.231709;1344.124377;1361.228254;1395.237357;1387.499888;1384.927354;1369.313362;1373.941937;1280.714881
12;1279.349655;1346.356405;1350.688341;1462.043668;1552.00046;1602.462903;1667.488023;1696.475125;1754.864089;1773.774063;1865.697125;1971.783466;1994.272664;2157.365435;2171.974197;2145.460293;2078.791495;2105.243953;2157.841641;2145.875053;2141.896431;2117.748193;2124.90664;1980.723844
13;204.7841669;215.5098676;216.2032761;234.0278072;248.4270973;256.504568;266.9130712;271.5530064;280.899267;283.926167;298.6401957;315.6213258;319.2211483;345.3272384;347.6656477;343.4215946;332.7499896;336.984207;345.4034641;343.4879848;342.8511309;338.9857477;340.1315929;317.0524028
14;300.6422597;316.3885889;317.4065772;343.5746516;364.7141527;376.5726331;391.8532869;398.6651446;412.3863269;416.8300984;438.4316651;463.3615481;468.6464234;506.9725989;510.4056019;504.1749361;488.5080244;494.7242506;507.0845054;504.272403;503.3374422;497.662699;499.3449066;465.4625026
15;8.309621761;8.744843476;8.772980231;9.496254466;10.08054112;10.40830437;10.83065502;11.01893182;11.39817935;11.52100327;12.11806121;12.80711237;12.95318403;14.01250291;14.10738963;13.93517673;13.50215008;13.67396388;14.01559596;13.93787067;13.91202876;13.75518132;13.8016768;12.86518184
16;50.16961211;52.7972774;52.96715397;57.33394573;60.86159541;62.84047677;65.39043256;66.52715984;68.81687917;69.55843258;73.16318936;77.3233582;78.20527062;84.60094287;85.1738245;84.13408349;81.51967099;82.5570024;84.61961724;84.15034827;83.99432688;83.04735535;83.32807337;77.67395453
17;602.3515586;633.9001039;635.9396935;688.368718;730.7227485;754.4817974;785.097339;798.745231;826.2362949;835.1396097;878.4194114;928.3676585;938.9561662;1015.744544;1022.622735;1010.139289;978.7498609;991.204376;1015.968755;1010.334569;1008.461329;997.091702;1000.462088;932.5770243
18;647.9483519;681.8850582;684.0790406;740.4768361;786.036981;811.5945418;844.5276179;859.2086277;888.7807094;898.3579872;944.9139822;998.6432105;1010.033247;1092.63435;1100.033205;1086.604788;1052.839244;1066.23654;1092.875532;1086.81485;1084.79981;1072.569525;1076.195042;1003.171217
19;204.7841669;215.5098676;216.2032761;234.0278072;248.4270973;256.504568;266.9130712;271.5530064;280.899267;283.926167;298.6401957;315.6213258;319.2211483;345.3272384;347.6656477;343.4215946;332.7499896;336.984207;345.4034641;343.4879848;342.8511309;338.9857477;340.1315929;317.0524028
