bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1259.927908;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1735.946707;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1188.70208;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3177.775552;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1635.795575;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1121.019481;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1345.766388;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1629.363346;0;0;0;1;1;0;100;1;1.1;0.9
9;1;908.0186859;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1323.135653;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1373.24559;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2038.740061;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1622.300636;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2289.08886;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1235.889191;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2741.932502;0;0;0;1;1;0;100;1;1.1;0.9
17;1;808.6627308;0;0;0;1;1;0;100;1;1.1;0.9
18;1;919.9735961;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2856.715456;0;0;0;1;1;0;100;1;1.1;0.9
