bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1343.608241;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1851.242668;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1267.651824;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3388.833117;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1744.439822;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1195.473966;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1435.147835;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1737.580385;0;0;0;1;1;0;100;1;1.1;0.9
9;1;968.3263476;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1411.01404;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1464.452117;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2174.146576;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1730.048592;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2441.122732;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1317.97295;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2924.042783;0;0;0;1;1;0;100;1;1.1;0.9
17;1;862.3714916;0;0;0;1;1;0;100;1;1.1;0.9
18;1;981.0752642;0;0;0;1;1;0;100;1;1.1;0.9
19;1;3046.449249;0;0;0;1;1;0;100;1;1.1;0.9
