bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;262.3501091;0.95;0.95;131.1750545;131.1750545
2;0;141.2994348;0.95;0.95;70.6497174;70.6497174
3;0;141.2994348;0.95;0.95;70.6497174;70.6497174
4;0;3.339080332;0.95;0.95;1.669540166;1.669540166
5;0;404.8542413;0.95;0.95;202.4271206;202.4271206
6;0;52.40858518;0.95;0.95;26.20429259;26.20429259
7;0;188.4704763;0.95;0.95;94.23523815;94.23523815
8;0;141.2994348;0.95;0.95;70.6497174;70.6497174
9;0;157.4544242;0.95;0.95;78.72721208;78.72721208
10;0;188.4704763;0.95;0.95;94.23523815;94.23523815
11;0;265.90829;0.95;0.95;132.954145;132.954145
12;0;365.8869214;0.95;0.95;182.9434607;182.9434607
13;0;61.49458811;0.95;0.95;30.74729406;30.74729406
14;0;95.42038471;0.95;0.95;47.71019236;47.71019236
15;0;2.450798076;0.95;0.95;1.225399038;1.225399038
16;0;15.27814634;0.95;0.95;7.639073172;7.639073172
17;0;188.4704763;0.95;0.95;94.23523815;94.23523815
18;0;262.3501091;0.95;0.95;131.1750545;131.1750545
19;0;61.49458811;0.95;0.95;30.74729406;30.74729406
