bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1005.334632;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1385.164448;0;0;0;1;1;0;100;1;1.1;0.9
3;1;948.5013876;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2535.643346;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1305.250826;0;0;0;1;1;0;100;1;1.1;0.9
6;1;894.495392;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1073.827755;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1300.118356;0;0;0;1;1;0;100;1;1.1;0.9
9;1;724.5356072;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1055.770007;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1095.754243;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1626.772434;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1294.482806;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1826.533323;0;0;0;1;1;0;100;1;1.1;0.9
15;1;986.1534119;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2187.870978;0;0;0;1;1;0;100;1;1.1;0.9
17;1;645.2564818;0;0;0;1;1;0;100;1;1.1;0.9
18;1;734.0747921;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2279.459773;0;0;0;1;1;0;100;1;1.1;0.9
