bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;1046.776935;0.95;0.95;261.6942339;261.6942339
2;0;563.784745;0.95;0.95;140.9461863;140.9461863
3;0;563.784745;0.95;0.95;140.9461863;140.9461863
4;0;13.32293053;0.95;0.95;3.330732632;3.330732632
5;0;1615.368423;0.95;0.95;403.8421058;403.8421058
6;0;209.1102549;0.95;0.95;52.27756373;52.27756373
7;0;751.9972006;0.95;0.95;187.9993002;187.9993002
8;0;563.784745;0.95;0.95;140.9461863;140.9461863
9;0;628.2431526;0.95;0.95;157.0607881;157.0607881
10;0;751.9972006;0.95;0.95;187.9993002;187.9993002
11;0;1060.974078;0.95;0.95;265.2435194;265.2435194
12;0;1459.888817;0.95;0.95;364.9722042;364.9722042
13;0;245.3634066;0.95;0.95;61.34085166;61.34085166
14;0;380.7273351;0.95;0.95;95.18183378;95.18183378
15;0;9.778684324;0.95;0.95;2.444671081;2.444671081
16;0;60.95980393;0.95;0.95;15.23995098;15.23995098
17;0;751.9972006;0.95;0.95;187.9993002;187.9993002
18;0;1046.776935;0.95;0.95;261.6942339;261.6942339
19;0;245.3634066;0.95;0.95;61.34085166;61.34085166
