fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
1;4;0;0.003108423;0;28624.57379;28624.57379;28624.57379;0;0;1;-30;30
1;5;0;0.011915337;0;25362.4293;25362.4293;25362.4293;0;0;1;-30;30
4;10;0;0.004830521;0;30724.8586;30724.8586;30724.8586;0;0;1;-30;30
4;18;0;0.036025008;0;21474.66806;21474.66806;21474.66806;0;0;1;-30;30
5;11;0;0.006067983;0;29116.12981;29116.12981;29116.12981;0;0;1;-30;30
5;13;0;0.099713392;0;20491.55602;20491.55602;20491.55602;0;0;1;-30;30
5;16;0;0.014368157;0;23262.14449;23262.14449;23262.14449;0;0;1;-30;30
6;14;0;0.007780912;0;25853.98532;25853.98532;25853.98532;0;0;1;-30;30
7;10;0;0.003536475;0;33987.00309;33987.00309;33987.00309;0;0;1;-30;30
7;12;0;0.003345804;0;33182.6387;33182.6387;33182.6387;0;0;1;-30;30
7;15;0;0.009001149;0;26345.54134;26345.54134;26345.54134;0;0;1;-30;30
7;17;0;0.104051148;0;20491.55602;20491.55602;20491.55602;0;0;1;-30;30
1;10;0;0.0382526;0;21787.47643;21787.47643;21787.47643;0;0;1;-30;30
8;18;0;0.009994826;0;26345.54134;26345.54134;26345.54134;0;0;1;-30;30
9;17;0;0.015829713;0;23574.95287;23574.95287;23574.95287;0;0;1;-30;30
9;18;0;0.011176188;0;25362.4293;25362.4293;25362.4293;0;0;1;-30;30
10;15;0;0.004509957;0;29607.68583;29607.68583;29607.68583;0;0;1;-30;30
10;16;0;0.036108232;0;21787.47643;21787.47643;21787.47643;0;0;1;-30;30
10;17;0;0.004064368;0;29607.68583;29607.68583;29607.68583;0;0;1;-30;30
11;13;0;0.005732345;0;28133.01777;28133.01777;28133.01777;0;0;1;-30;30
11;14;0;0.011297734;0;24066.50889;24066.50889;24066.50889;0;0;1;-30;30
13;19;0;0.001748694;0;37740.7036;37740.7036;37740.7036;0;0;1;-30;30
15;16;0;0.002238267;0;33182.6387;33182.6387;33182.6387;0;0;1;-30;30
1;14;0;0.00903559;0;27149.90573;27149.90573;27149.90573;0;0;1;-30;30
2;8;0;0.003539107;0;30099.24185;30099.24185;30099.24185;0;0;1;-30;30
2;9;0;0.007361197;0;29920.49421;29920.49421;29920.49421;0;0;1;-30;30
3;6;0;0.021264022;0;22770.58847;22770.58847;22770.58847;0;0;1;-30;30
3;8;0;0.013525141;0;22770.58847;22770.58847;22770.58847;0;0;1;-30;30
3;18;0;0.103922149;0;20491.55602;20491.55602;20491.55602;0;0;1;-30;30
4;9;0;0.005400611;0;31707.97064;31707.97064;31707.97064;0;0;1;-30;30
