bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax;;
1;0;630;0.95;0.95;157.5;157.5;;157.5
2;0;630;0.95;0.95;157.5;157.5;;
3;0;630;0.95;0.95;157.5;157.5;;
4;0;630;0.95;0.95;157.5;157.5;;
5;0;630;0.95;0.95;157.5;157.5;;
6;0;630;0.95;0.95;157.5;157.5;;
7;0;630;0.95;0.95;157.5;157.5;;
8;0;630;0.95;0.95;157.5;157.5;;
9;0;630;0.95;0.95;157.5;157.5;;
10;0;630;0.95;0.95;157.5;157.5;;
11;0;630;0.95;0.95;157.5;157.5;;
12;0;630;0.95;0.95;157.5;157.5;;
13;0;630;0.95;0.95;157.5;157.5;;
14;0;630;0.95;0.95;157.5;157.5;;
15;0;630;0.95;0.95;157.5;157.5;;
16;0;630;0.95;0.95;157.5;157.5;;
17;0;630;0.95;0.95;157.5;157.5;;
18;0;630;0.95;0.95;157.5;157.5;;
19;0;630;0.95;0.95;157.5;157.5;;
