bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;875.5150709;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1206.297198;0;0;0;1;1;0;100;1;1.1;0.9
3;1;826.0207427;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2208.213954;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1136.702878;0;0;0;1;1;0;100;1;1.1;0.9
6;1;778.9885789;0;0;0;1;1;0;100;1;1.1;0.9
7;1;935.1636289;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1132.233167;0;0;0;1;1;0;100;1;1.1;0.9
9;1;630.9758196;0;0;0;1;1;0;100;1;1.1;0.9
10;1;919.43769;0;0;0;1;1;0;100;1;1.1;0.9
11;1;954.2587341;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1416.706177;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1127.325339;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1590.671802;0;0;0;1;1;0;100;1;1.1;0.9
15;1;858.8107348;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1905.349674;0;0;0;1;1;0;100;1;1.1;0.9
17;1;561.9340628;0;0;0;1;1;0;100;1;1.1;0.9
18;1;639.2832028;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1985.111544;0;0;0;1;1;0;100;1;1.1;0.9
