fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
1;4;0;0.003108423;0;1600.08465;1600.08465;1600.08465;0;0;1;-30;30
1;5;0;0.011915337;0;1417.734081;1417.734081;1417.734081;0;0;1;-30;30
4;10;0;0.004830521;0;1717.488442;1717.488442;1717.488442;0;0;1;-30;30
4;18;0;0.036025008;0;1200.41217;1200.41217;1200.41217;0;0;1;-30;30
5;11;0;0.006067983;0;1627.562133;1627.562133;1627.562133;0;0;1;-30;30
5;13;0;0.099713392;0;1145.457204;1145.457204;1145.457204;0;0;1;-30;30
5;16;0;0.014368157;0;1300.33029;1300.33029;1300.33029;0;0;1;-30;30
6;14;0;0.007780912;0;1445.211564;1445.211564;1445.211564;0;0;1;-30;30
7;10;0;0.003536475;0;1899.839011;1899.839011;1899.839011;0;0;1;-30;30
7;12;0;0.003345804;0;1854.875857;1854.875857;1854.875857;0;0;1;-30;30
7;15;0;0.009001149;0;1472.689047;1472.689047;1472.689047;0;0;1;-30;30
7;17;0;0.104051148;0;1145.457204;1145.457204;1145.457204;0;0;1;-30;30
1;10;0;0.0382526;0;1217.897841;1217.897841;1217.897841;0;0;1;-30;30
8;18;0;0.009994826;0;1472.689047;1472.689047;1472.689047;0;0;1;-30;30
9;17;0;0.015829713;0;1317.815961;1317.815961;1317.815961;0;0;1;-30;30
9;18;0;0.011176188;0;1417.734081;1417.734081;1417.734081;0;0;1;-30;30
10;15;0;0.004509957;0;1655.039616;1655.039616;1655.039616;0;0;1;-30;30
10;16;0;0.036108232;0;1217.897841;1217.897841;1217.897841;0;0;1;-30;30
10;17;0;0.004064368;0;1655.039616;1655.039616;1655.039616;0;0;1;-30;30
11;13;0;0.005732345;0;1572.607167;1572.607167;1572.607167;0;0;1;-30;30
11;14;0;0.011297734;0;1345.293444;1345.293444;1345.293444;0;0;1;-30;30
13;19;0;0.001748694;0;2109.667063;2109.667063;2109.667063;0;0;1;-30;30
15;16;0;0.002238267;0;1854.875857;1854.875857;1854.875857;0;0;1;-30;30
1;14;0;0.00903559;0;1517.652201;1517.652201;1517.652201;0;0;1;-30;30
2;8;0;0.003539107;0;1682.5171;1682.5171;1682.5171;0;0;1;-30;30
2;9;0;0.007361197;0;1672.525288;1672.525288;1672.525288;0;0;1;-30;30
3;6;0;0.021264022;0;1272.852807;1272.852807;1272.852807;0;0;1;-30;30
3;8;0;0.013525141;0;1272.852807;1272.852807;1272.852807;0;0;1;-30;30
3;18;0;0.103922149;0;1145.457204;1145.457204;1145.457204;0;0;1;-30;30
4;9;0;0.005400611;0;1772.443408;1772.443408;1772.443408;0;0;1;-30;30
