bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;456.0920618;0.95;0.95;228.0460309;228.0460309
2;0;428.7004343;0.95;0.95;214.3502172;214.3502172
3;0;0;0.95;0.95;0;0
4;0;4.027449926;0.95;0.95;2.013724963;2.013724963
5;0;191.1461327;0.95;0.95;95.57306634;95.57306634
6;0;67.01410964;0.95;0.95;33.50705482;33.50705482
7;0;60.55943606;0.95;0.95;30.27971803;30.27971803
8;0;168.0749328;0.95;0.95;84.03746641;84.03746641
9;0;1153.275276;0.95;0.95;576.6376382;576.6376382
10;0;45.25500792;0.95;0.95;22.62750396;22.62750396
11;0;120.1204753;0.95;0.95;60.06023764;60.06023764
12;0;36.42950135;0.95;0.95;18.21475068;18.21475068
13;0;13.49208836;0.95;0.95;6.74604418;6.74604418
14;0;18.85464382;0.95;0.95;9.427321908;9.427321908
15;0;0.131418459;0.95;0.95;0.06570923;0.06570923
16;0;1.177042478;0.95;0.95;0.588521239;0.588521239
17;0;37.93972811;0.95;0.95;18.96986405;18.96986405
18;0;184.988074;0.95;0.95;92.49403702;92.49403702
19;0;12.72218653;0.95;0.95;6.361093264;6.361093264
