bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1107.745151;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1526.267126;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1045.122469;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2793.941968;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1438.212936;0;0;0;1;1;0;100;1;1.1;0.9
6;1;985.615039;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1183.215469;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1432.557636;0;0;0;1;1;0;100;1;1.1;0.9
9;1;798.3419448;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1163.31823;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1207.375544;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1792.487016;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1426.348009;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2012.596966;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1086.609995;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2410.743039;0;0;0;1;1;0;100;1;1.1;0.9
17;1;710.9868851;0;0;0;1;1;0;100;1;1.1;0.9
18;1;808.8528587;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2511.661718;0;0;0;1;1;0;100;1;1.1;0.9
