bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1059.62795;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1459.970558;0;0;0;1;1;0;100;1;1.1;0.9
3;1;999.7254136;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2672.581322;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1375.741184;0;0;0;1;1;0;100;1;1.1;0.9
6;1;942.8028123;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1131.820059;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1370.331534;0;0;0;1;1;0;100;1;1.1;0.9
9;1;763.6643121;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1112.787098;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1154.930692;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1714.626637;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1364.391634;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1925.175656;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1039.410844;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2306.027431;0;0;0;1;1;0;100;1;1.1;0.9
17;1;680.1037;0;0;0;1;1;0;100;1;1.1;0.9
18;1;773.7186627;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2402.562499;0;0;0;1;1;0;100;1;1.1;0.9
