bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;157.8947368;0.95;0.95;78.94736842;78.94736842
2;0;157.8947368;0.95;0.95;78.94736842;78.94736842
3;0;157.8947368;0.95;0.95;78.94736842;78.94736842
4;0;157.8947368;0.95;0.95;78.94736842;78.94736842
5;0;157.8947368;0.95;0.95;78.94736842;78.94736842
6;0;157.8947368;0.95;0.95;78.94736842;78.94736842
7;0;157.8947368;0.95;0.95;78.94736842;78.94736842
8;0;157.8947368;0.95;0.95;78.94736842;78.94736842
9;0;157.8947368;0.95;0.95;78.94736842;78.94736842
10;0;157.8947368;0.95;0.95;78.94736842;78.94736842
11;0;157.8947368;0.95;0.95;78.94736842;78.94736842
12;0;157.8947368;0.95;0.95;78.94736842;78.94736842
13;0;157.8947368;0.95;0.95;78.94736842;78.94736842
14;0;157.8947368;0.95;0.95;78.94736842;78.94736842
15;0;157.8947368;0.95;0.95;78.94736842;78.94736842
16;0;157.8947368;0.95;0.95;78.94736842;78.94736842
17;0;157.8947368;0.95;0.95;78.94736842;78.94736842
18;0;157.8947368;0.95;0.95;78.94736842;78.94736842
19;0;157.8947368;0.95;0.95;78.94736842;78.94736842
