bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;875.7169048;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1206.575287;0;0;0;1;1;0;100;1;1.1;0.9
3;1;826.2111666;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2208.723018;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1136.964924;0;0;0;1;1;0;100;1;1.1;0.9
6;1;779.1681604;0;0;0;1;1;0;100;1;1.1;0.9
7;1;935.3792137;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1132.494183;0;0;0;1;1;0;100;1;1.1;0.9
9;1;631.1212795;0;0;0;1;1;0;100;1;1.1;0.9
10;1;919.6496495;0;0;0;1;1;0;100;1;1.1;0.9
11;1;954.4787209;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1417.032772;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1127.585224;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1591.038502;0;0;0;1;1;0;100;1;1.1;0.9
15;1;859.0087179;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1905.788918;0;0;0;1;1;0;100;1;1.1;0.9
17;1;562.0636064;0;0;0;1;1;0;100;1;1.1;0.9
18;1;639.4305778;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1985.569175;0;0;0;1;1;0;100;1;1.1;0.9
