bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;1341.982195;0.95;0.95;335.4955488;335.4955488
2;0;819.8378303;0.95;0.95;204.9594576;204.9594576
3;0;819.8378303;0.95;0.95;204.9594576;204.9594576
4;0;46.17042188;0.95;0.95;11.54260547;11.54260547
5;0;973.6278586;0.95;0.95;243.4069646;243.4069646
6;0;554.974342;0.95;0.95;138.7435855;138.7435855
7;0;461.2850037;0.95;0.95;115.3212509;115.3212509
8;0;819.8378303;0.95;0.95;204.9594576;204.9594576
9;0;2115.869212;0.95;0.95;528.9673031;528.9673031
10;0;461.2850037;0.95;0.95;115.3212509;115.3212509
11;0;733.9419031;0.95;0.95;183.4854758;183.4854758
12;0;491.5262483;0.95;0.95;122.8815621;122.8815621
13;0;120.2123801;0.95;0.95;30.05309502;30.05309502
14;0;249.4170705;0.95;0.95;62.35426762;62.35426762
15;0;4.246606266;0.95;0.95;1.061651567;1.061651567
16;0;32.4686845;0.95;0.95;8.117171124;8.117171124
17;0;461.2850037;0.95;0.95;115.3212509;115.3212509
18;0;1341.982195;0.95;0.95;335.4955488;335.4955488
19;0;120.2123801;0.95;0.95;30.05309502;30.05309502
