bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1117.715745;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1540.004754;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1054.529409;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2819.089685;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1451.158006;0;0;0;1;1;0;100;1;1.1;0.9
6;1;994.4863645;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1193.865357;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1445.451804;0;0;0;1;1;0;100;1;1.1;0.9
9;1;805.5276624;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1173.789027;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1218.242892;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1808.620837;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1439.186284;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2030.711952;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1096.390356;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2432.441659;0;0;0;1;1;0;100;1;1.1;0.9
17;1;717.3863371;0;0;0;1;1;0;100;1;1.1;0.9
18;1;816.1331829;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2534.268687;0;0;0;1;1;0;100;1;1.1;0.9
