fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
2;3;0;0.0146;0;2196;2196;2196;0;0;1;-30;30
2;4;0;0.0173;0;1853;1853;1853;0.9545;0;1;-30;30
3;8;0.00179;0.01988;2.576;1606;1606;1606;0;0;1;-30;30
5;6;0;0.01238;0;2589;2589;2589;0;0;1;-30;30
5;11;0;0.015;0;2137;2137;2137;0;0;1;-30;30
17;5;0.00977;0.11;2;291;291;291;0;0;1;-30;30
5;160;0.00811;0.1369;2.4348;234;234;234;0;0;1;-30;30
7;8;0;0.011;0;2914;2914;2914;1.063;0;1;-30;30
7;8;0;0.011;0;2914;2914;2914;1.063;0;1;-30;30
7;28;0;0.00408;0;5501.81;7856;7856;0;0;1;-30;30
8;9;0;0.0059;0;5432;5432;5432;0;0;1;-30;30
8;10;0.00028;0.0138;0;2322;2322;2322;0;0;1;-30;30
8;10;0.00029;0.0139;0;2306;2306;2306;0;0;1;-30;30
8;17;0.0005;0.0053;0.0882;2202.27;6021;6021;0;0;1;-30;30
163;8;0.0048;0.0436;0.7078;731;731;731;0;0;1;-30;30
12;13;0;0.00666;0;4813;4813;4813;1.08;0;1;-30;30
12;20;0;0.00634;0;5055;5055;5055;0;0;1;-30;30
12;22;0;0.01188;0;2698;2698;2698;0;0;1;-30;30
12;139;0.0028;0.0211;1.0194;1506;1506;1506;0;0;1;-30;30
21;14;0;0.00634;0;5055;5055;5055;0;0;1;-30;30
14;24;0;0.00826;0;3880;3880;3880;0;0;1;-30;30
14;26;0;0.01795;0;1786;1786;1786;0;0;1;-30;30
29;14;0;0.00612;0;5237;5237;5237;0;0;1;-30;30
16;15;6.00E-05;0.00495;0;6474;6474;6474;1.1061;0;1;-30;30
16;19;0.0004;0.0096;0.9038;3336;3336;3336;0;0;1;-30;30
16;19;0.0004;0.0096;0.9038;3336;3336;3336;0;0;1;-30;30
16;136;0.00259;0.02967;2.153;1077;1077;1077;0;0;1;-30;30
16;136;0.00259;0.02967;2.153;1077;1077;1077;0;0;1;-30;30
17;18;0;0.006;0;5342;5342;5342;1.0435;0;1;-30;30
23;19;0;0.01188;0;2698;2698;2698;0;0;1;-30;30
25;19;0;0.00826;0;3880;3880;3880;0;0;1;-30;30
20;21;0.00077;0.01804;1.39842;1775;1775;1775;0;0;1;-30;30
22;23;0.00241;0.05865;4.8656;546;546;546;0;0;1;-30;30
24;25;0.00179;0.04244;3.3922;755;755;755;0;0;1;-30;30
26;27;0.00207;0.04959;3.9516;646;646;646;0;0;1;-30;30
27;139;0;0.01795;0;1786;1786;1786;0;0;1;-30;30
