bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
2;1;926.77;-54.77;0;0;1;1.003;0;1;1;1.108;0.898
3;1;0;0;0;0;1;1.003;0;1;1;1.108;0.898
4;2;46.71;0;0;0;1;1.003;0;1;1;1.108;0.898
5;1;1271.04;-122.37;0;0;1;1.003;0;1;1;1.108;0.898
6;2;48.57;0;0;0;1;1.003;0;1;1;1.108;0.898
7;1;0;0;0;-113;1;1.003;0;1;1;1.108;0.898
8;1;113.45;-54.21;0;-155;1;1.003;0;1;1;1.108;0.898
9;2;50;0;0;0;1;1.003;0;1;1;1.108;0.898
10;1;67.39;22.91;0;0;1;1.003;0;1;1;1.108;0.898
11;2;47.87;0;0;0;1;1.003;0;1;1;1.108;0.898
12;1;41.43;65.76;0;-190;2;1.003;0;1;1;1.108;0.898
13;2;48.55;0;0;0;2;1.003;0;1;1;1.108;0.898
14;1;0;0;0;-391;2;1.003;0;1;1;1.108;0.898
15;2;46.55;0;0;0;2;1.003;0;1;1;1.108;0.898
16;1;434.68;215.2;0;-146;2;1.003;0;1;1;1.108;0.898
17;1;459.25;4.79;0;390;1;1.003;0;1;1;1.108;0.898
18;2;51.79;0;0;0;1;1.003;0;1;1;1.108;0.898
19;1;327.45;-64.08;0;-427;2;1.003;0;1;1;1.108;0.898
20;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
21;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
22;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
23;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
24;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
25;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
26;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
27;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
28;1;0;0;0;0;1;1.003;0;1;1;1.108;0.898
29;1;0;0;0;0;1;1.003;0;1;1;1.108;0.898
30;2;49.3;0;0;0;1;1.003;0;1;1;1.108;0.898
31;1;2376.39;1052.35;0;0;1;1.003;0;1;1;1.108;0.898
32;1;0;0;0;0;1;1.003;0;1;1;1.108;0.898
33;1;0;0;0;0;1;1.003;0;1;1;1.108;0.898
34;1;1692.19;703.18;0;0;1;1.003;0;1;1;1.108;0.898
35;2;45.09;0;0;0;1;1.003;0;1;1;1.108;0.898
36;2;51.16;0;0;0;1;1.003;0;1;1;1.108;0.898
37;1;-843.68;1045.02;0;912;2;1.003;0;1;1;1.108;0.898
38;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
39;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
40;2;51.45;0;0;0;2;1.003;0;1;1;1.108;0.898
41;1;69.79;28;0;0;2;1.003;0;1;1;1.108;0.898
42;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
43;2;49.01;0;0;0;2;1.003;0;1;1;1.108;0.898
44;1;1098.25;902.5;0;430;1;1.003;0;1;1;1.108;0.898
45;2;52.83;0;0;0;1;1.003;0;1;1;1.108;0.898
46;1;-35.89;-17.32;0;0;2;1.003;0;1;1;1.108;0.898
47;2;53.25;0;0;0;2;1.003;0;1;1;1.108;0.898
48;1;55.04;24.01;0;0;2;1.003;0;1;1;1.108;0.898
49;1;0;0;0;-80;2;1.003;0;1;1;1.108;0.898
50;1;172.41;62.09;0;0;2;1.003;0;1;1;1.108;0.898
51;1;115.98;-58.77;0;0;2;1.003;0;1;1;1.108;0.898
52;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
53;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
54;1;74.1;29.03;0;0;2;1.003;0;1;1;1.108;0.898
55;1;427.39;126.16;0;0;2;1.003;0;1;1;1.108;0.898
56;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
57;1;62.17;24.03;0;0;2;1.003;0;1;1;1.108;0.898
58;1;59.47;25.47;0;0;2;1.003;0;1;1;1.108;0.898
59;1;480.82;-6.57;0;0;2;1.003;0;1;1;1.108;0.898
60;1;-1459.73;1687.42;0;2146;2;1.003;0;1;1;1.108;0.898
61;1;185.63;75.27;0;0;2;1.003;0;1;1;1.108;0.898
62;1;96.01;18.56;0;0;2;1.003;0;1;1;1.108;0.898
63;1;-69.23;30.32;0;-108;2;1.003;0;1;1;1.108;0.898
64;1;0;0;0;0;2;1.003;0;1;1;1.108;0.898
65;2;46.97;0;0;0;1;1.003;0;1;1;1.108;0.898
66;1;774.37;298.97;0;0;1;1.003;0;1;1;1.108;0.898
67;1;78.5;31.52;0;0;1;1.003;0;1;1;1.108;0.898
68;1;-35.37;174.17;0;576.85;1;1.003;0;1;1;1.108;0.898
69;1;-23.29;20.73;0;0;1;1.003;0;1;1;1.108;0.898
70;2;51.91;0;0;0;1;1.003;0;1;1;1.108;0.898
71;1;1486.08;1816.85;0;792;1;1.003;0;1;1;1.108;0.898
72;1;0;0;0;462;1;1.003;0;1;1;1.108;0.898
73;1;-781.91;-53.83;0;0;1;1.003;0;1;1;1.108;0.898
74;1;0;0;0;0;1;1.003;0;1;1;1.108;0.898
75;1;1223.08;413.7;0;0;1;1.003;0;1;1;1.108;0.898
76;1;1617.77;1164.73;0;1019.35;1;1.003;0;1;1;1.108;0.898
77;3;54.24;0;0;0;1;1.003;0;1;1;1.108;0.898
