bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
1;0;0;100;-100;1;100;1;33.0;0;0;46.81336859555876;0
2;0;0;100;-100;1;100;1;3363.9;0;0;47.03547239393638;0
3;0;0;100;-100;1;100;1;85.0;0;0;46.81295034207908;0
4;0;0;100;-100;1;100;1;487.977;0;0;46.81385330797094;0
5;0;0;100;-100;1;100;1;1448.7;0;0;82.4134789510812;0
6;0;0;100;-100;1;100;1;3467.27;0;0;46.81308675818369;0
7;0;0;100;-100;1;100;1;452.1;0;0;46.26824552661051;0
8;0;0;100;-100;1;100;1;2909.6;0;0;49.96226158738074;0
9;0;0;100;-100;1;100;1;2017.1;0;0;14.0234969546957;0
10;0;0;100;-100;1;100;1;128.0;0;0;46.81236194698715;0
11;0;0;100;-100;1;100;1;5579.734;0;0;66.02631010385545;0
12;0;0;100;-100;1;100;1;1507.48;0;0;46.813326809912;0
13;0;0;100;-100;1;100;1;1592.92;0;0;46.81321082566811;0
14;0;0;100;-100;1;100;1;12.68;0;0;46.81272893123323;0
15;0;0;100;-100;1;100;1;76.0;0;0;46.81348329118676;0
16;0;0;100;-100;1;100;1;3022.318;0;0;46.81387160333877;0
18;0;0;100;-100;1;100;1;95.765;0;0;46.81314153433013;0
19;0;0;100;-100;1;100;1;2665.8;0;0;46.81345931722109;0
