bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1173.4219;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1616.757492;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1107.086402;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2959.591103;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1523.482685;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1044.050855;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1253.366754;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1517.49209;0;0;0;1;1;0;100;1;1.1;0.9
9;1;845.6745861;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1232.289834;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1278.959249;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1898.761208;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1510.914302;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2131.921187;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1151.033669;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2553.672815;0;0;0;1;1;0;100;1;1.1;0.9
17;1;753.1403602;0;0;0;1;1;0;100;1;1.1;0.9
18;1;856.8086782;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2660.57483;0;0;0;1;1;0;100;1;1.1;0.9
