bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;657.8947368;0.95;0.95;328.9473684;328.9473684
2;0;657.8947368;0.95;0.95;328.9473684;328.9473684
3;0;657.8947368;0.95;0.95;328.9473684;328.9473684
4;0;657.8947368;0.95;0.95;328.9473684;328.9473684
5;0;657.8947368;0.95;0.95;328.9473684;328.9473684
6;0;657.8947368;0.95;0.95;328.9473684;328.9473684
7;0;657.8947368;0.95;0.95;328.9473684;328.9473684
8;0;657.8947368;0.95;0.95;328.9473684;328.9473684
9;0;657.8947368;0.95;0.95;328.9473684;328.9473684
10;0;657.8947368;0.95;0.95;328.9473684;328.9473684
11;0;657.8947368;0.95;0.95;328.9473684;328.9473684
12;0;657.8947368;0.95;0.95;328.9473684;328.9473684
13;0;657.8947368;0.95;0.95;328.9473684;328.9473684
14;0;657.8947368;0.95;0.95;328.9473684;328.9473684
15;0;657.8947368;0.95;0.95;328.9473684;328.9473684
16;0;657.8947368;0.95;0.95;328.9473684;328.9473684
17;0;657.8947368;0.95;0.95;328.9473684;328.9473684
18;0;657.8947368;0.95;0.95;328.9473684;328.9473684
19;0;657.8947368;0.95;0.95;328.9473684;328.9473684
