bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;179.1804689;0.95;0.95;89.59023447;89.59023447
2;0;32.0508404;0.95;0.95;16.0254202;16.0254202
3;0;34.22916102;0.95;0.95;17.11458051;17.11458051
4;0;2.26233905;0.95;0.95;1.131169525;1.131169525
5;0;133.7776337;0.95;0.95;66.88881685;66.88881685
6;0;10.8313234;0.95;0.95;5.415661699;5.415661699
7;0;47.30207232;0.95;0.95;23.65103616;23.65103616
8;0;25.48475181;0.95;0.95;12.7423759;12.7423759
9;0;164.5555788;0.95;0.95;82.27778938;82.27778938
10;0;82.71047889;0.95;0.95;41.35523944;41.35523944
11;0;118.9135445;0.95;0.95;59.45677223;59.45677223
12;0;7.759872877;0.95;0.95;3.879936438;3.879936438
13;0;22.55271364;0.95;0.95;11.27635682;11.27635682
14;0;17.85238418;0.95;0.95;8.926192088;8.926192088
15;0;0.763057725;0.95;0.95;0.381528863;0.381528863
16;0;2.732054904;0.95;0.95;1.366027452;1.366027452
17;0;24.99410145;0.95;0.95;12.49705073;12.49705073
18;0;69.49490883;0.95;0.95;34.74745441;34.74745441
19;0;22.55271364;0.95;0.95;11.27635682;11.27635682
