bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;920.2010952;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1267.866242;0;0;0;1;1;0;100;1;1.1;0.9
3;1;868.1805915;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2320.920527;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1194.719849;0;0;0;1;1;0;100;1;1.1;0.9
6;1;818.7479203;0;0;0;1;1;0;100;1;1.1;0.9
7;1;982.8940977;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1190.022006;0;0;0;1;1;0;100;1;1.1;0.9
9;1;663.1806345;0;0;0;1;1;0;100;1;1.1;0.9
10;1;966.3655117;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1002.963811;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1489.014431;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1184.863684;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1671.85921;0;0;0;1;1;0;100;1;1.1;0.9
15;1;902.644175;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2002.598146;0;0;0;1;1;0;100;1;1.1;0.9
17;1;590.6150074;0;0;0;1;1;0;100;1;1.1;0.9
18;1;671.9120241;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2086.431037;0;0;0;1;1;0;100;1;1.1;0.9
