bus;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h24
1;0;0;0;0;0;0;0;115.3145208;461.0340265;892.3805388;1206.881476;1380.089762;1376.977863;1305.478877;1107.188687;862.8548433;557.2290413;162.4411158;0;0;0;0;0;0
2;0;0;0;0;0;0;0;73.38486101;293.3968569;567.9009143;768.0457652;878.2735653;876.2931881;830.7920393;704.6023982;549.1110946;354.6142798;103.3756947;0;0;0;0;0;0
3;0;0;0;0;0;0;0;73.38486101;293.3968569;567.9009143;768.0457652;878.2735653;876.2931881;830.7920393;704.6023982;549.1110946;354.6142798;103.3756947;0;0;0;0;0;0
4;0;0;0;0;0;0;0;4.847759057;19.38161701;37.51518724;50.73663373;58.01821483;57.88739231;54.88161425;46.54560369;36.27394323;23.42560254;6.8289352;0;0;0;0;0;0
5;0;0;0;0;0;0;0;50.45317972;201.7146881;390.4402966;528.0428483;603.8260948;602.4645561;571.1818419;484.424593;377.522017;243.8025738;71.07232247;0;0;0;0;0;0
6;0;0;0;0;0;0;0;56.37078318;225.373604;436.2346521;589.9764707;674.6482591;673.1270268;638.1751941;541.2422735;421.8012002;272.3979361;79.40832474;0;0;0;0;0;0
7;0;0;0;0;0;0;0;24.42093878;97.63630511;188.9854838;255.589482;292.2709763;291.6119484;276.4701228;234.4768634;182.7326269;118.0081763;34.40125767;0;0;0;0;0;0
8;0;0;0;0;0;0;0;73.38486101;293.3968569;567.9009143;768.0457652;878.2735653;876.2931881;830.7920393;704.6023982;549.1110946;354.6142798;103.3756947;0;0;0;0;0;0
9;0;0;0;0;0;0;0;221.4737736;885.4647698;1713.911518;2317.943941;2650.608833;2644.632101;2507.310711;2126.473361;1657.204287;1070.217503;311.9854;0;0;0;0;0;0
10;0;0;0;0;0;0;0;24.42093878;97.63630511;188.9854838;255.589482;292.2709763;291.6119484;276.4701228;234.4768634;182.7326269;118.0081763;34.40125767;0;0;0;0;0;0
11;0;0;0;0;0;0;0;44.11360577;176.3687101;341.3804524;461.6928837;527.9537672;526.7633093;499.41135;423.5553763;330.0853884;213.1681429;62.14189932;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0.46885611;1.874513449;3.628320742;4.907046829;5.611292593;5.598639957;5.307932973;4.501706956;3.508272524;2.265631758;0.660467641;0;0;0;0;0;0
13;0;0;0;0;0;0;0;4.447846107;17.78274224;34.42039457;46.55114583;53.2320373;53.11200692;50.35418869;42.70585228;33.28154623;21.49312164;6.265586323;0;0;0;0;0;0
14;0;0;0;0;0;0;0;14.20847129;56.80627801;109.9546109;148.7058237;170.0476715;169.664239;160.8544961;136.4221831;106.3166042;68.65894058;20.01517166;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0.114017281;0.455847589;0.882341635;1.19330457;1.364564335;1.361487444;1.290792791;1.094733282;0.853148091;0.55096045;0.160613722;0;0;0;0;0;0
16;0;0;0;0;0;0;0;1.407420794;5.626948552;10.89155917;14.73006239;16.84408013;16.80609922;15.93344971;13.51330579;10.53119625;6.801014603;1.982603775;0;0;0;0;0;0
17;0;0;0;0;0;0;0;24.42093878;97.63630511;188.9854838;255.589482;292.2709763;291.6119484;276.4701228;234.4768634;182.7326269;118.0081763;34.40125767;0;0;0;0;0;0
18;0;0;0;0;0;0;0;115.3145208;461.0340265;892.3805388;1206.881476;1380.089762;1376.977863;1305.478877;1107.188687;862.8548433;557.2290413;162.4411158;0;0;0;0;0;0
19;0;0;0;0;0;0;0;4.447846107;17.78274224;34.42039457;46.55114583;53.2320373;53.11200692;50.35418869;42.70585228;33.28154623;21.49312164;6.265586323;0;0;0;0;0;0
