bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1254.397659;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1728.327051;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1183.484466;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3163.827222;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1628.615516;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1116.098948;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1339.859365;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1622.211521;0;0;0;1;1;0;100;1;1.1;0.9
9;1;904.0330855;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1317.327964;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1367.217952;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2029.791343;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1615.179811;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2279.041277;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1230.464456;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2729.897235;0;0;0;1;1;0;100;1;1.1;0.9
17;1;805.1132372;0;0;0;1;1;0;100;1;1.1;0.9
18;1;915.9355215;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2844.176368;0;0;0;1;1;0;100;1;1.1;0.9
