bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;524.7002183;0.95;0.95;262.3501091;262.3501091
2;0;282.5988697;0.95;0.95;141.2994348;141.2994348
3;0;282.5988697;0.95;0.95;141.2994348;141.2994348
4;0;6.678160666;0.95;0.95;3.339080333;3.339080333
5;0;809.7084828;0.95;0.95;404.8542414;404.8542414
6;0;104.8171704;0.95;0.95;52.40858519;52.40858519
7;0;376.9409527;0.95;0.95;188.4704764;188.4704764
8;0;282.5988697;0.95;0.95;141.2994348;141.2994348
9;0;314.9088484;0.95;0.95;157.4544242;157.4544242
10;0;376.9409527;0.95;0.95;188.4704764;188.4704764
11;0;531.8165802;0.95;0.95;265.9082901;265.9082901
12;0;731.7738429;0.95;0.95;365.8869215;365.8869215
13;0;122.9891763;0.95;0.95;61.49458813;61.49458813
14;0;190.8407695;0.95;0.95;95.42038474;95.42038474
15;0;4.901596152;0.95;0.95;2.450798076;2.450798076
16;0;30.55629269;0.95;0.95;15.27814635;15.27814635
17;0;376.9409527;0.95;0.95;188.4704764;188.4704764
18;0;524.7002183;0.95;0.95;262.3501091;262.3501091
19;0;122.9891763;0.95;0.95;61.49458813;61.49458813
