bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1226.302381;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1689.616975;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1156.977461;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3092.965638;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1592.138721;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1091.101205;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1309.849965;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1585.878159;0;0;0;1;1;0;100;1;1.1;0.9
9;1;883.7850718;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1287.823209;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1336.59579;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1984.329242;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1579.003941;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2227.996619;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1202.90522;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2668.754565;0;0;0;1;1;0;100;1;1.1;0.9
17;1;787.0807734;0;0;0;1;1;0;100;1;1.1;0.9
18;1;895.4209238;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2780.474139;0;0;0;1;1;0;100;1;1.1;0.9
