bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;959.5587048;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1322.09372;0;0;0;1;1;0;100;1;1.1;0.9
3;1;905.3132498;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2420.187833;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1245.818807;0;0;0;1;1;0;100;1;1.1;0.9
6;1;853.7663105;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1024.933129;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1240.920034;0;0;0;1;1;0;100;1;1.1;0.9
9;1;691.545309;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1007.697604;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1045.861237;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1552.700564;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1235.541087;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1743.365734;0;0;0;1;1;0;100;1;1.1;0.9
15;1;941.2508635;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2088.250593;0;0;0;1;1;0;100;1;1.1;0.9
17;1;615.876002;0;0;0;1;1;0;100;1;1.1;0.9
18;1;700.6501458;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2175.669073;0;0;0;1;1;0;100;1;1.1;0.9
