bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;1140.230155;0.95;0.95;570.1150773;570.1150773
2;0;1071.751086;0.95;0.95;535.8755429;535.8755429
3;0;0;0.95;0.95;0;0
4;0;10.06862482;0.95;0.95;5.034312408;5.034312408
5;0;477.8653317;0.95;0.95;238.9326659;238.9326659
6;0;167.5352741;0.95;0.95;83.76763705;83.76763705
7;0;151.3985901;0.95;0.95;75.69929507;75.69929507
8;0;420.1873321;0.95;0.95;210.093666;210.093666
9;0;2883.188191;0.95;0.95;1441.594095;1441.594095
10;0;113.1375198;0.95;0.95;56.5687599;56.5687599
11;0;300.3011882;0.95;0.95;150.1505941;150.1505941
12;0;91.07375338;0.95;0.95;45.53687669;45.53687669
13;0;33.7302209;0.95;0.95;16.86511045;16.86511045
14;0;47.13660954;0.95;0.95;23.56830477;23.56830477
15;0;0.328546148;0.95;0.95;0.164273074;0.164273074
16;0;2.942606195;0.95;0.95;1.471303098;1.471303098
17;0;94.84932027;0.95;0.95;47.42466014;47.42466014
18;0;462.4701851;0.95;0.95;231.2350925;231.2350925
19;0;31.80546632;0.95;0.95;15.90273316;15.90273316
