bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1294.36077;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1783.388798;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1221.188396;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3264.621718;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1680.500612;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1151.656083;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1382.54515;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1673.892595;0;0;0;1;1;0;100;1;1.1;0.9
9;1;932.8341396;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1359.295935;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1410.775338;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2094.457262;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1666.636867;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2351.647902;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1269.665093;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2816.867413;0;0;0;1;1;0;100;1;1.1;0.9
17;1;830.7628625;0;0;0;1;1;0;100;1;1.1;0.9
18;1;945.1157682;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2934.787296;0;0;0;1;1;0;100;1;1.1;0.9
