bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;631.5789474;0.95;0.95;315.7894737;315.7894737
2;0;631.5789474;0.95;0.95;315.7894737;315.7894737
3;0;631.5789474;0.95;0.95;315.7894737;315.7894737
4;0;631.5789474;0.95;0.95;315.7894737;315.7894737
5;0;631.5789474;0.95;0.95;315.7894737;315.7894737
6;0;631.5789474;0.95;0.95;315.7894737;315.7894737
7;0;631.5789474;0.95;0.95;315.7894737;315.7894737
8;0;631.5789474;0.95;0.95;315.7894737;315.7894737
9;0;631.5789474;0.95;0.95;315.7894737;315.7894737
10;0;631.5789474;0.95;0.95;315.7894737;315.7894737
11;0;631.5789474;0.95;0.95;315.7894737;315.7894737
12;0;631.5789474;0.95;0.95;315.7894737;315.7894737
13;0;631.5789474;0.95;0.95;315.7894737;315.7894737
14;0;631.5789474;0.95;0.95;315.7894737;315.7894737
15;0;631.5789474;0.95;0.95;315.7894737;315.7894737
16;0;631.5789474;0.95;0.95;315.7894737;315.7894737
17;0;631.5789474;0.95;0.95;315.7894737;315.7894737
18;0;631.5789474;0.95;0.95;315.7894737;315.7894737
19;0;631.5789474;0.95;0.95;315.7894737;315.7894737
