bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1271.593907;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1752.020288;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1199.708581;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3207.199399;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1650.94183;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1131.399291;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1358.227188;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1644.450044;0;0;0;1;1;0;100;1;1.1;0.9
9;1;916.4262664;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1335.386909;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1385.960827;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2057.617284;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1637.321938;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2310.284128;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1247.332609;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2767.320766;0;0;0;1;1;0;100;1;1.1;0.9
17;1;816.1503487;0;0;0;1;1;0;100;1;1.1;0.9
18;1;928.4918701;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2883.166525;0;0;0;1;1;0;100;1;1.1;0.9
