bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;447.3684211;0.95;0.95;223.6842105;223.6842105
2;0;447.3684211;0.95;0.95;223.6842105;223.6842105
3;0;447.3684211;0.95;0.95;223.6842105;223.6842105
4;0;447.3684211;0.95;0.95;223.6842105;223.6842105
5;0;447.3684211;0.95;0.95;223.6842105;223.6842105
6;0;447.3684211;0.95;0.95;223.6842105;223.6842105
7;0;447.3684211;0.95;0.95;223.6842105;223.6842105
8;0;447.3684211;0.95;0.95;223.6842105;223.6842105
9;0;447.3684211;0.95;0.95;223.6842105;223.6842105
10;0;447.3684211;0.95;0.95;223.6842105;223.6842105
11;0;447.3684211;0.95;0.95;223.6842105;223.6842105
12;0;447.3684211;0.95;0.95;223.6842105;223.6842105
13;0;447.3684211;0.95;0.95;223.6842105;223.6842105
14;0;447.3684211;0.95;0.95;223.6842105;223.6842105
15;0;447.3684211;0.95;0.95;223.6842105;223.6842105
16;0;447.3684211;0.95;0.95;223.6842105;223.6842105
17;0;447.3684211;0.95;0.95;223.6842105;223.6842105
18;0;447.3684211;0.95;0.95;223.6842105;223.6842105
19;0;447.3684211;0.95;0.95;223.6842105;223.6842105
