bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;914.7515801;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1260.357822;0;0;0;1;1;0;100;1;1.1;0.9
3;1;863.0391466;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2307.175823;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1187.644609;0;0;0;1;1;0;100;1;1.1;0.9
6;1;813.8992201;0;0;0;1;1;0;100;1;1.1;0.9
7;1;977.0733089;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1182.974586;0;0;0;1;1;0;100;1;1.1;0.9
9;1;659.2532181;0;0;0;1;1;0;100;1;1.1;0.9
10;1;960.6426066;0;0;0;1;1;0;100;1;1.1;0.9
11;1;997.0241677;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1480.196351;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1177.846813;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1661.958307;0;0;0;1;1;0;100;1;1.1;0.9
15;1;897.2986335;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1990.738576;0;0;0;1;1;0;100;1;1.1;0.9
17;1;587.1173312;0;0;0;1;1;0;100;1;1.1;0.9
18;1;667.9328995;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2074.075002;0;0;0;1;1;0;100;1;1.1;0.9
