bus;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h24
1;0;0;0;0;0;0;0;30.12318009;448.9847545;1094.517035;1491.84427;1510.640139;1575.616585;1583.085142;1489.728179;1484.624665;1195.218079;523.670325;41.82391946;0;0;0;0;0
2;0;0;0;0;0;0;0;19.17005221;285.728836;696.5383018;949.3928747;961.3543536;1002.704631;1007.457537;948.0462182;944.7983994;760.6233111;333.257891;26.61627083;0;0;0;0;0
3;0;0;0;0;0;0;0;19.17005221;285.728836;696.5383018;949.3928747;961.3543536;1002.704631;1007.457537;948.0462182;944.7983994;760.6233111;333.257891;26.61627083;0;0;0;0;0
4;0;0;0;0;0;0;0;1.26636193;18.87507224;46.01289442;62.71631293;63.50648091;66.23805499;66.55202902;62.62735362;62.4128047;50.24631095;22.01481256;1.75825458;0;0;0;0;0
5;0;0;0;0;0;0;0;13.17969505;196.4428101;478.8804073;652.7216742;660.9453682;689.3742972;692.6419902;651.7958279;649.5629043;522.9398011;229.11974;18.29908073;0;0;0;0;0
6;0;0;0;0;0;0;0;14.72552842;219.4833926;535.0478157;729.2787525;738.4669955;770.2303254;773.8812828;728.2443146;725.7494937;584.2748921;255.9929672;20.44536177;0;0;0;0;0
7;0;0;0;0;0;0;0;6.379390312;95.08454898;231.7933017;315.9379871;319.9185158;333.6790189;335.2606859;315.4898481;314.4090423;253.1194453;110.9012192;8.857335309;0;0;0;0;0
8;0;0;0;0;0;0;0;19.17005221;285.728836;696.5383018;949.3928747;961.3543536;1002.704631;1007.457537;948.0462182;944.7983994;760.6233111;333.257891;26.61627083;0;0;0;0;0
9;0;0;0;0;0;0;0;57.85476383;862.3228642;2102.136109;2865.245225;2901.344685;3026.138845;3040.483002;2861.181048;2851.379208;2295.54315;1005.764427;80.3272754;0;0;0;0;0
10;0;0;0;0;0;0;0;6.379390312;95.08454898;231.7933017;315.9379871;319.9185158;333.6790189;335.2606859;315.4898481;314.4090423;253.1194453;110.9012192;8.857335309;0;0;0;0;0
11;0;0;0;0;0;0;0;11.5236319;171.7592574;418.707832;570.7054892;577.8958545;602.7526143;605.6097131;569.8959778;567.943627;457.2310477;200.3302456;15.99975339;0;0;0;0;0
12;0;0;0;0;0;0;0;0.122477524;1.825522439;4.450185419;6.065674086;6.142096013;6.406283069;6.436649398;6.057070293;6.036319969;4.859624746;2.129185722;0.170051439;0;0;0;0;0
13;0;0;0;0;0;0;0;1.161894169;17.31798457;42.21708854;57.54256865;58.2675522;60.77378673;61.06185966;57.46094798;57.26409814;46.10127194;20.19871392;1.613208433;0;0;0;0;0
14;0;0;0;0;0;0;0;3.711625703;55.32162773;134.8608463;183.8174961;186.1334278;194.1394965;195.0597342;183.556762;182.9279329;147.268719;64.5240055;5.153331554;0;0;0;0;0
15;0;0;0;0;0;0;0;0.029784307;0.443933866;1.082204181;1.475061653;1.493646076;1.557891565;1.565276104;1.472969367;1.467923265;1.181772381;0.517779255;0.041353418;0;0;0;0;0
16;0;0;0;0;0;0;0;0.367655259;5.479886448;13.3586475;18.20805076;18.43745549;19.230497;19.32165119;18.18222374;18.11993503;14.58770992;6.391428414;0.510463501;0;0;0;0;0
17;0;0;0;0;0;0;0;6.379390312;95.08454898;231.7933017;315.9379871;319.9185158;333.6790189;335.2606859;315.4898481;314.4090423;253.1194453;110.9012192;8.857335309;0;0;0;0;0
18;0;0;0;0;0;0;0;30.12318009;448.9847545;1094.517035;1491.84427;1510.640139;1575.616585;1583.085142;1489.728179;1484.624665;1195.218079;523.670325;41.82391946;0;0;0;0;0
19;0;0;0;0;0;0;0;1.161894169;17.31798457;42.21708854;57.54256865;58.2675522;60.77378673;61.06185966;57.46094798;57.26409814;46.10127194;20.19871392;1.613208433;0;0;0;0;0
