bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;1184.210526;0.95;0.95;592.1052632;592.1052632
2;0;1184.210526;0.95;0.95;592.1052632;592.1052632
3;0;1184.210526;0.95;0.95;592.1052632;592.1052632
4;0;1184.210526;0.95;0.95;592.1052632;592.1052632
5;0;1184.210526;0.95;0.95;592.1052632;592.1052632
6;0;1184.210526;0.95;0.95;592.1052632;592.1052632
7;0;1184.210526;0.95;0.95;592.1052632;592.1052632
8;0;1184.210526;0.95;0.95;592.1052632;592.1052632
9;0;1184.210526;0.95;0.95;592.1052632;592.1052632
10;0;1184.210526;0.95;0.95;592.1052632;592.1052632
11;0;1184.210526;0.95;0.95;592.1052632;592.1052632
12;0;1184.210526;0.95;0.95;592.1052632;592.1052632
13;0;1184.210526;0.95;0.95;592.1052632;592.1052632
14;0;1184.210526;0.95;0.95;592.1052632;592.1052632
15;0;1184.210526;0.95;0.95;592.1052632;592.1052632
16;0;1184.210526;0.95;0.95;592.1052632;592.1052632
17;0;1184.210526;0.95;0.95;592.1052632;592.1052632
18;0;1184.210526;0.95;0.95;592.1052632;592.1052632
19;0;1184.210526;0.95;0.95;592.1052632;592.1052632
