bus;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h24
1;570.1242177;526.8669763;543.2051431;523.210339;485.8659579;476.6076635;500.8815112;512.3182279;403.6305188;417.1678569;348.7809591;236.8256167;251.2965643;250.1295524;207.4169166;223.2882785;275.2592088;284.7509057;285.762316;293.1533914;282.9614874;289.3411525;296.5766264;308.2467455
2;283.815776;262.2817188;270.4150857;260.4613938;241.8708408;237.2619329;249.3457923;255.0391492;200.9328938;207.6719693;173.6280191;117.8950904;125.0989297;124.5179749;103.2550299;111.1560149;137.0278679;141.7529667;142.2564609;145.9358412;140.8621694;144.0380556;147.6399752;153.449523
3;283.815776;262.2817188;270.4150857;260.4613938;241.8708408;237.2619329;249.3457923;255.0391492;200.9328938;207.6719693;173.6280191;117.8950904;125.0989297;124.5179749;103.2550299;111.1560149;137.0278679;141.7529667;142.2564609;145.9358412;140.8621694;144.0380556;147.6399752;153.449523
4;0.288397097;0.26651544;0.274780095;0.264665731;0.245775092;0.241091787;0.253370703;0.259155962;0.204176329;0.211024186;0.176430702;0.119798139;0.127118262;0.12652793;0.104921761;0.112950282;0.139239756;0.144041127;0.144552748;0.148291521;0.14313595;0.146363101;0.150023163;0.155926487
5;1142.638193;1055.942391;1088.687208;1048.613789;973.7684928;955.2130963;1003.862539;1026.783911;808.9529128;836.0843328;699.0238836;474.6439218;503.6464742;501.3075587;415.7032509;447.5125019;551.6722061;570.6953857;572.7224458;587.5355774;567.1090485;579.89512;594.3963962;617.7855514
6;45.17289512;41.74547568;43.0400046;41.45574778;38.49682451;37.76325812;39.68655824;40.59272849;31.98102892;33.0536386;27.63511038;18.76450502;19.91108778;19.81862143;16.43435295;17.69189533;21.80973021;22.56178987;22.64192737;23.2275476;22.42000813;22.92549085;23.49878223;24.42344575
7;530.0039889;489.7908042;504.9792373;486.3914882;451.6750697;443.068291;465.633963;476.2658662;375.2266232;387.8113249;324.2368835;220.1599539;233.6125661;232.527678;192.8207744;207.5752522;255.8889346;264.712691;265.6529273;272.5238851;263.0491959;268.9799174;275.7062235;286.5551043
8;283.815776;262.2817188;270.4150857;260.4613938;241.8708408;237.2619329;249.3457923;255.0391492;200.9328938;207.6719693;173.6280191;117.8950904;125.0989297;124.5179749;103.2550299;111.1560149;137.0278679;141.7529667;142.2564609;145.9358412;140.8621694;144.0380556;147.6399752;153.449523
9;28.28197262;26.13612426;26.94660655;25.9547306;24.10219964;23.64292634;24.84707147;25.41440907;20.0227721;20.69431457;17.30186725;11.74813382;12.46598957;12.40809797;10.28926569;11.07659135;13.65469693;14.12554855;14.17572126;14.54236802;14.03678144;14.35325548;14.71218335;15.29109928
10;530.0039889;489.7908042;504.9792373;486.3914882;451.6750697;443.068291;465.633963;476.2658662;375.2266232;387.8113249;324.2368835;220.1599539;233.6125661;232.527678;192.8207744;207.5752522;255.8889346;264.712691;265.6529273;272.5238851;263.0491959;268.9799174;275.7062235;286.5551043
11;727.8583729;672.6333108;693.4916976;667.9650052;620.2886925;608.46894;639.4585432;654.059414;515.3014791;532.5841424;445.2768949;302.3472826;320.8218538;319.331969;264.8021864;285.0646193;351.4141544;363.5318838;364.8231173;374.2590542;361.2473939;369.3920973;378.6293829;393.5282305
12;1125.688829;1040.279032;1072.538128;1033.059139;959.3240632;941.0439089;988.9717084;1011.553075;796.953281;823.6822461;688.654888;467.6032744;496.1756164;493.8713952;409.5369019;440.8743093;543.4889569;562.2299554;564.226947;578.8203475;558.6968163;571.2932252;585.5793962;608.6216075
13;180.1878384;166.5163812;171.6800611;165.3607005;153.5580037;150.6319184;158.3036714;161.9182473;127.5674817;131.8459593;110.2322707;74.84876913;79.42231415;79.05347988;65.55414536;70.57029152;86.99571129;89.9955634;90.31521978;92.65117019;89.43001751;91.44631156;93.73308407;97.42142683
14;264.5325551;244.4615807;252.0423444;242.7649336;225.4374736;221.1417075;232.4045565;237.7110911;187.2809629;193.5621671;161.8312561;109.8849751;116.5993659;116.0578828;96.23960044;103.6037709;127.7178193;132.1218821;132.5911674;136.0205606;131.291608;134.2517157;137.6089111;143.0237423
15;7.311565177;6.756812142;6.966341166;6.709917551;6.230994068;6.112260954;6.423561218;6.570231535;5.176364648;5.34997441;4.472945782;3.037173089;3.222755939;3.20778958;2.660020846;2.863563327;3.530065174;3.651791559;3.664762404;3.759549343;3.628843143;3.710659238;3.803450662;3.953114251
16;44.14381297;40.79447345;42.05951176;40.51134583;37.61982969;36.90297465;38.78246014;39.66798695;31.25247021;32.30064481;27.00555589;18.33703148;19.45749398;19.3671341;16.05996252;17.28885688;21.3128835;22.04781052;22.12612241;22.69840165;21.9092587;22.40322604;22.96345729;23.86705608
17;530.0039889;489.7908042;504.9792373;486.3914882;451.6750697;443.068291;465.633963;476.2658662;375.2266232;387.8113249;324.2368835;220.1599539;233.6125661;232.527678;192.8207744;207.5752522;255.8889346;264.712691;265.6529273;272.5238851;263.0491959;268.9799174;275.7062235;286.5551043
18;570.1242177;526.8669763;543.2051431;523.210339;485.8659579;476.6076635;500.8815112;512.3182279;403.6305188;417.1678569;348.7809591;236.8256167;251.2965643;250.1295524;207.4169166;223.2882785;275.2592088;284.7509057;285.762316;293.1533914;282.9614874;289.3411525;296.5766264;308.2467455
19;180.1878384;166.5163812;171.6800611;165.3607005;153.5580037;150.6319184;158.3036714;161.9182473;127.5674817;131.8459593;110.2322707;74.84876913;79.42231415;79.05347988;65.55414536;70.57029152;86.99571129;89.9955634;90.31521978;92.65117019;89.43001751;91.44631156;93.73308407;97.42142683
