bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1213.465745;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1671.930474;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1144.866501;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3060.589224;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1575.4726;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1079.679822;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1296.138773;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1569.277571;0;0;0;1;1;0;100;1;1.1;0.9
9;1;874.5338241;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1274.342588;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1322.604629;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1963.557765;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1562.475311;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2204.674492;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1190.3135;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2640.81869;0;0;0;1;1;0;100;1;1.1;0.9
17;1;778.8418029;0;0;0;1;1;0;100;1;1.1;0.9
18;1;886.0478749;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2751.368811;0;0;0;1;1;0;100;1;1.1;0.9
