bus;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h24
1;0;0;0;0;0;0;4.356658278;354.6319838;1277.994587;2012.776124;2330.438751;2332.679318;2314.256877;2116.838019;2087.337219;2175.341716;2155.425564;1807.764233;946.2661779;116.8829178;0;0;0;0
2;0;0;0;0;0;0;2.772528212;225.6837964;813.3013471;1280.908034;1483.064948;1484.49082;1472.766986;1347.13185;1328.357874;1384.362944;1371.688529;1150.440778;602.1931275;74.38297116;0;0;0;0
3;0;0;0;0;0;0;2.772528212;225.6837964;813.3013471;1280.908034;1483.064948;1484.49082;1472.766986;1347.13185;1328.357874;1384.362944;1371.688529;1150.440778;602.1931275;74.38297116;0;0;0;0
4;0;0;0;0;0;0;0.183151519;14.90853363;53.72618981;84.61600167;97.97036384;98.06455605;97.29008677;88.99070652;87.7505091;91.45016978;90.61290569;75.99741449;39.78050988;4.913693604;0;0;0;0
5;0;0;0;0;0;0;1.906154243;155.1609553;559.1567317;880.6432601;1019.629135;1020.609443;1012.549134;926.1731157;913.2657284;951.7700441;943.0561961;790.9450876;414.0167015;51.13939525;0;0;0;0
6;0;0;0;0;0;0;2.129725185;173.35963;624.7396706;983.9330353;1139.220426;1140.315713;1131.310018;1034.803043;1020.381761;1063.402209;1053.666323;883.7142531;462.5763101;57.13748424;0;0;0;0
7;0;0;0;0;0;0;0.922639095;75.1028223;270.6495881;426.2592617;493.5328323;494.0073324;490.1058871;448.2971555;442.0495708;460.6868805;456.4691018;382.842502;200.3972114;24.75308885;0;0;0;0
8;0;0;0;0;0;0;2.772528212;225.6837964;813.3013471;1280.908034;1483.064948;1484.49082;1472.766986;1347.13185;1328.357874;1384.362944;1371.688529;1150.440778;602.1931275;74.38297116;0;0;0;0
9;0;0;0;0;0;0;8.367424521;681.108356;2454.524216;3865.750129;4475.854911;4480.158158;4444.775906;4065.61204;4008.952623;4177.974598;4139.723515;3472.003038;1817.404606;224.4860464;0;0;0;0
10;0;0;0;0;0;0;0.922639095;75.1028223;270.6495881;426.2592617;493.5328323;494.0073324;490.1058871;448.2971555;442.0495708;460.6868805;456.4691018;382.842502;200.3972114;24.75308885;0;0;0;0
11;0;0;0;0;0;0;1.666640978;135.6645756;488.8972263;769.9881318;891.5100683;892.3671979;885.3196875;809.797042;798.5115017;832.1776495;824.5587193;691.5607692;361.9944204;44.71359652;0;0;0;0
12;0;0;0;0;0;0;0.017713692;1.441894491;5.196184885;8.183725488;9.475306654;9.484416552;9.409512942;8.606829663;8.486882666;8.844699235;8.76372236;7.350169775;3.847413801;0.475233039;0;0;0;0
13;0;0;0;0;0;0;0.168042545;13.67866317;49.29408029;77.63565582;89.88835796;89.97477984;89.26419994;81.64947204;80.51158395;83.90604336;83.13784887;69.72805377;36.49884079;4.508341423;0;0;0;0
14;0;0;0;0;0;0;0.53680537;43.69595714;157.468021;248.0040811;287.1448612;287.4209325;285.1510127;260.8260608;257.1911215;268.03459;265.5806226;222.7435541;116.5941264;14.40172122;0;0;0;0
15;0;0;0;0;0;0;0.004307648;0.350642524;1.263617688;1.990133244;2.3042223;2.306437662;2.288222466;2.093024486;2.063855557;2.150870041;2.131177937;1.78742765;0.935621083;0.115568034;0;0;0;0
16;0;0;0;0;0;0;0.053173281;4.328305099;15.59800226;24.56605597;28.44314779;28.47049405;28.24564703;25.83613777;25.47607869;26.55017898;26.30710112;22.06387327;11.5492367;1.426563176;0;0;0;0
17;0;0;0;0;0;0;0.922639095;75.1028223;270.6495881;426.2592617;493.5328323;494.0073324;490.1058871;448.2971555;442.0495708;460.6868805;456.4691018;382.842502;200.3972114;24.75308885;0;0;0;0
18;0;0;0;0;0;0;4.356658278;354.6319838;1277.994587;2012.776124;2330.438751;2332.679318;2314.256877;2116.838019;2087.337219;2175.341716;2155.425564;1807.764233;946.2661779;116.8829178;0;0;0;0
19;0;0;0;0;0;0;0.168042545;13.67866317;49.29408029;77.63565582;89.88835796;89.97477984;89.26419994;81.64947204;80.51158395;83.90604336;83.13784887;69.72805377;36.49884079;4.508341423;0;0;0;0
