bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;1.315789474;0.95;0.95;0.657894737;0.657894737
2;0;1.315789474;0.95;0.95;0.657894737;0.657894737
3;0;1.315789474;0.95;0.95;0.657894737;0.657894737
4;0;1.315789474;0.95;0.95;0.657894737;0.657894737
5;0;1.315789474;0.95;0.95;0.657894737;0.657894737
6;0;1.315789474;0.95;0.95;0.657894737;0.657894737
7;0;1.315789474;0.95;0.95;0.657894737;0.657894737
8;0;1.315789474;0.95;0.95;0.657894737;0.657894737
9;0;1.315789474;0.95;0.95;0.657894737;0.657894737
10;0;1.315789474;0.95;0.95;0.657894737;0.657894737
11;0;1.315789474;0.95;0.95;0.657894737;0.657894737
12;0;1.315789474;0.95;0.95;0.657894737;0.657894737
13;0;1.315789474;0.95;0.95;0.657894737;0.657894737
14;0;1.315789474;0.95;0.95;0.657894737;0.657894737
15;0;1.315789474;0.95;0.95;0.657894737;0.657894737
16;0;1.315789474;0.95;0.95;0.657894737;0.657894737
17;0;1.315789474;0.95;0.95;0.657894737;0.657894737
18;0;1.315789474;0.95;0.95;0.657894737;0.657894737
19;0;1.315789474;0.95;0.95;0.657894737;0.657894737
