bus;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h24
1;558.6097002;546.1615732;564.6003614;585.9177789;584.1283606;540.4043145;561.7995328;508.7393914;428.5267728;371.8877949;387.8369576;420.6688927;450.2331943;469.4499904;520.6429128;537.7590875;569.5018114;660.6065411;710.6324515;738.5629366;680.4457435;671.576453;618.0495068;562.9665447
2;278.0836889;271.8868379;281.0659234;291.6780308;290.7872334;269.0207943;279.6716319;253.2575545;213.3265959;185.1309238;193.0706391;209.4148337;224.1323548;233.6987435;259.1832933;267.7039634;283.5059335;328.8591368;353.7627318;367.6669162;338.7353681;334.3201117;307.6736524;280.2525867
3;278.0836889;271.8868379;281.0659234;291.6780308;290.7872334;269.0207943;279.6716319;253.2575545;213.3265959;185.1309238;193.0706391;209.4148337;224.1323548;233.6987435;259.1832933;267.7039634;283.5059335;328.8591368;353.7627318;367.6669162;338.7353681;334.3201117;307.6736524;280.2525867
4;0.282572483;0.276275604;0.285602857;0.296386264;0.295481087;0.273363297;0.284186059;0.257345609;0.216770089;0.188119286;0.196187163;0.212795184;0.227750273;0.237471082;0.263367;0.27202521;0.288082253;0.334167543;0.359473129;0.373601753;0.344203195;0.339716668;0.312640085;0.284776391
5;1119.560893;1094.612461;1131.567326;1174.291516;1170.705179;1083.073811;1125.953929;1019.611237;858.8497771;745.3344108;777.2995895;843.1010793;902.3536057;940.8677478;1043.468175;1077.772269;1141.390771;1323.982109;1424.243621;1480.221666;1363.743673;1345.967915;1238.689657;1128.292844
6;44.26056045;43.2742527;44.73522106;46.42427308;46.28249135;42.81808536;44.51330181;40.30916501;33.95364442;29.46594414;30.72965095;33.33103765;35.67351857;37.19613116;41.2523218;42.60849496;45.12357973;52.34211961;56.30584389;58.51887192;53.91404759;53.21130332;48.97017997;44.60576816
7;519.2997599;507.7276204;524.868852;544.6861409;543.0226459;502.3755059;522.2651207;472.9388761;398.3709022;345.7176675;360.5444712;391.0659891;418.5498204;436.4143108;484.0047344;499.9164263;529.425382;614.1189779;660.6245135;686.5895015;632.5620752;624.3169258;574.556726;523.3500087
8;278.0836889;271.8868379;281.0659234;291.6780308;290.7872334;269.0207943;279.6716319;253.2575545;213.3265959;185.1309238;193.0706391;209.4148337;224.1323548;233.6987435;259.1832933;267.7039634;283.5059335;328.8591368;353.7627318;367.6669162;338.7353681;334.3201117;307.6736524;280.2525867
9;27.71077557;27.09326525;28.00795241;29.06543883;28.97667172;26.80766673;27.86901259;25.23687485;21.25779274;18.44812078;19.23930588;20.86798935;22.33457635;23.28785791;25.8273691;26.67644579;28.2510971;32.77050075;35.25212034;36.63765912;33.75465782;33.31468172;30.65938734;27.92690418
10;519.2997599;507.7276204;524.868852;544.6861409;543.0226459;502.3755059;522.2651207;472.9388761;398.3709022;345.7176675;360.5444712;391.0659891;418.5498204;436.4143108;484.0047344;499.9164263;529.425382;614.1189779;660.6245135;686.5895015;632.5620752;624.3169258;574.556726;523.3500087
11;713.1581765;697.2660723;720.8062517;748.0214801;745.7369901;689.9159741;717.2305282;649.490434;547.0856875;474.7766133;495.1383719;537.0537967;574.7975442;599.3309801;664.6872587;686.538902;727.0637677;843.3741054;907.2404992;942.898408;868.7021465;857.3790222;789.0429741;718.720413
12;1102.953847;1078.375488;1114.782182;1156.872621;1153.339482;1067.007997;1109.252051;1004.486797;846.1099984;734.2784663;765.7694884;830.5949095;888.9685114;926.9113527;1027.989853;1061.785096;1124.459911;1304.342774;1403.117053;1458.264745;1343.514533;1326.002452;1220.31551;1111.556272
13;176.5486736;172.6144413;178.4420228;185.1793956;184.6138497;170.7948589;177.5568206;160.7871555;135.4359462;117.5351894;122.5759245;132.9524621;142.2962638;148.3697349;164.5492651;169.9588345;179.9911268;208.7847893;224.5954853;233.422919;215.054972;212.2518315;195.3346327;177.9256549
14;259.1899217;253.4141017;261.969535;271.8606267;271.0303526;250.7427849;260.6699755;236.0505429;198.8326029;172.5526219;179.9528913;195.1866165;208.904189;217.820611;241.5736707;249.5154232;264.2437641;306.5155466;329.7271232;342.6866193;315.7207597;311.605488;286.7694621;261.2114587
15;7.163897103;7.004255942;7.240724412;7.5141099;7.491161483;6.930421905;7.20480515;6.524334701;5.49564697;4.769279687;4.973819924;5.394873487;5.774021244;6.020467287;6.676991562;6.896498158;7.303583119;8.471956866;9.113514782;9.471709638;8.726384967;8.61264064;7.926183647;7.219771509
16;43.25226216;42.28842345;43.71610954;45.36668333;45.22813152;41.84264805;43.49924583;39.39088332;33.18014763;28.79468149;30.02959984;32.57172444;34.86084138;36.34876739;40.31255409;41.63783232;44.09562103;51.1497156;55.02314242;57.18575553;52.68583355;51.99909846;47.85459201;43.58960571
17;519.2997599;507.7276204;524.868852;544.6861409;543.0226459;502.3755059;522.2651207;472.9388761;398.3709022;345.7176675;360.5444712;391.0659891;418.5498204;436.4143108;484.0047344;499.9164263;529.425382;614.1189779;660.6245135;686.5895015;632.5620752;624.3169258;574.556726;523.3500087
18;558.6097002;546.1615732;564.6003614;585.9177789;584.1283606;540.4043145;561.7995328;508.7393914;428.5267728;371.8877949;387.8369576;420.6688927;450.2331943;469.4499904;520.6429128;537.7590875;569.5018114;660.6065411;710.6324515;738.5629366;680.4457435;671.576453;618.0495068;562.9665447
19;176.5486736;172.6144413;178.4420228;185.1793956;184.6138497;170.7948589;177.5568206;160.7871555;135.4359462;117.5351894;122.5759245;132.9524621;142.2962638;148.3697349;164.5492651;169.9588345;179.9911268;208.7847893;224.5954853;233.422919;215.054972;212.2518315;195.3346327;177.9256549
