bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;1900.383591;0.95;0.95;950.1917955;950.1917955
2;0;1786.25181;0.95;0.95;893.1259048;893.1259048
3;0;0;0.95;0.95;0;0
4;0;16.78104136;0.95;0.95;8.390520679;8.390520679
5;0;796.4422195;0.95;0.95;398.2211098;398.2211098
6;0;279.2254568;0.95;0.95;139.6127284;139.6127284
7;0;252.3309836;0.95;0.95;126.1654918;126.1654918
8;0;700.3122201;0.95;0.95;350.1561101;350.1561101
9;0;4805.313652;0.95;0.95;2402.656826;2402.656826
10;0;188.562533;0.95;0.95;94.2812665;94.2812665
11;0;500.5019804;0.95;0.95;250.2509902;250.2509902
12;0;151.789589;0.95;0.95;75.89479448;75.89479448
13;0;56.21703484;0.95;0.95;28.10851742;28.10851742
14;0;78.5610159;0.95;0.95;39.28050795;39.28050795
15;0;0.547576913;0.95;0.95;0.273788456;0.273788456
16;0;4.904343659;0.95;0.95;2.452171829;2.452171829
17;0;158.0822005;0.95;0.95;79.04110023;79.04110023
18;0;770.7836418;0.95;0.95;385.3918209;385.3918209
19;0;53.00911053;0.95;0.95;26.50455527;26.50455527
