bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;52.63157895;0.95;0.95;26.31578947;26.31578947
2;0;52.63157895;0.95;0.95;26.31578947;26.31578947
3;0;52.63157895;0.95;0.95;26.31578947;26.31578947
4;0;52.63157895;0.95;0.95;26.31578947;26.31578947
5;0;52.63157895;0.95;0.95;26.31578947;26.31578947
6;0;52.63157895;0.95;0.95;26.31578947;26.31578947
7;0;52.63157895;0.95;0.95;26.31578947;26.31578947
8;0;52.63157895;0.95;0.95;26.31578947;26.31578947
9;0;52.63157895;0.95;0.95;26.31578947;26.31578947
10;0;52.63157895;0.95;0.95;26.31578947;26.31578947
11;0;52.63157895;0.95;0.95;26.31578947;26.31578947
12;0;52.63157895;0.95;0.95;26.31578947;26.31578947
13;0;52.63157895;0.95;0.95;26.31578947;26.31578947
14;0;52.63157895;0.95;0.95;26.31578947;26.31578947
15;0;52.63157895;0.95;0.95;26.31578947;26.31578947
16;0;52.63157895;0.95;0.95;26.31578947;26.31578947
17;0;52.63157895;0.95;0.95;26.31578947;26.31578947
18;0;52.63157895;0.95;0.95;26.31578947;26.31578947
19;0;52.63157895;0.95;0.95;26.31578947;26.31578947
