bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1100.317663;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1516.033428;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1038.11487;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2775.208445;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1428.569646;0;0;0;1;1;0;100;1;1.1;0.9
6;1;979.0064403;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1175.281949;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1422.952265;0;0;0;1;1;0;100;1;1.1;0.9
9;1;792.9890217;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1155.518122;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1199.28003;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1780.4683;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1416.784273;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1999.102402;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1079.32422;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2394.578885;0;0;0;1;1;0;100;1;1.1;0.9
17;1;706.2196821;0;0;0;1;1;0;100;1;1.1;0.9
18;1;803.4294593;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2494.820899;0;0;0;1;1;0;100;1;1.1;0.9
