bus;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h24
1;0;0;0;0;0;0;221.2186597;1027.138203;1752.061245;2003.340847;2094.594167;2181.851808;2222.182016;2280.113124;2249.90281;2203.772023;2142.181323;1921.49791;1469.650208;731.2837633;104.9830169;0;0;0
2;0;0;0;0;0;0;140.7810611;653.6591727;1114.992024;1274.90353;1332.976114;1388.505893;1414.171583;1451.038286;1431.812784;1402.455671;1363.260043;1222.819607;935.2688239;465.3807426;66.81000839;0;0;0
3;0;0;0;0;0;0;140.7810611;653.6591727;1114.992024;1274.90353;1332.976114;1388.505893;1414.171583;1451.038286;1431.812784;1402.455671;1363.260043;1222.819607;935.2688239;465.3807426;66.81000839;0;0;0
4;0;0;0;0;0;0;9.299910833;43.18032536;73.6556915;84.21934781;88.0555872;91.72385047;93.41931025;95.85470216;94.5846772;92.64536426;90.05612507;80.77871571;61.78328676;30.74276736;4.413428312;0;0;0
5;0;0;0;0;0;0;96.78906628;449.4003704;766.573544;876.5150746;916.4408367;954.6183831;972.2639253;997.6103305;984.3925124;964.209062;937.2614872;840.7066056;643.0111799;319.9561588;45.93287109;0;0;0
6;0;0;0;0;0;0;108.14136;502.1100945;856.4841954;979.3206591;1023.929274;1066.584627;1086.299798;1114.619058;1099.850935;1077.300187;1047.191958;939.3122503;718.429324;357.4834997;51.32029202;0;0;0
7;0;0;0;0;0;0;46.84897711;217.5240291;371.0459022;424.2610891;443.5864239;462.0655669;470.6065688;482.8750327;476.4771896;466.7077596;453.664279;406.9286546;311.2378;154.8689262;22.23296607;0;0;0
8;0;0;0;0;0;0;140.7810611;653.6591727;1114.992024;1274.90353;1332.976114;1388.505893;1414.171583;1451.038286;1431.812784;1402.455671;1363.260043;1222.819607;935.2688239;465.3807426;66.81000839;0;0;0
9;0;0;0;0;0;0;424.8739103;1972.727912;3365.019539;3847.628678;4022.890361;4190.477921;4267.936365;4379.199204;4321.177092;4232.57802;4114.286544;3690.440632;2822.619174;1404.508066;201.631024;0;0;0
10;0;0;0;0;0;0;46.84897711;217.5240291;371.0459022;424.2610891;443.5864239;462.0655669;470.6065688;482.8750327;476.4771896;466.7077596;453.664279;406.9286546;311.2378;154.8689262;22.23296607;0;0;0
11;0;0;0;0;0;0;84.62726703;392.9320388;670.2515739;766.3786637;801.2876494;834.6680873;850.0964209;872.2579841;860.7010193;843.0536723;819.4921307;735.0696224;562.2151438;279.7528309;40.16128574;0;0;0
12;0;0;0;0;0;0;0.899450646;4.176230526;7.123687576;8.145362694;8.516388615;8.871168552;9.035146725;9.270688211;9.147856413;8.960293725;8.709872737;7.812598345;5.975435481;2.97331904;0.426849355;0;0;0
13;0;0;0;0;0;0;8.532720317;39.61819055;67.5795098;77.27172368;80.79149482;84.15714693;85.71274078;87.94722651;86.78197149;85.002641;82.62699953;74.11492444;56.68651191;28.20666137;4.049345215;0;0;0
14;0;0;0;0;0;0;27.25744297;126.5587678;215.880114;246.841514;258.0852859;268.8367306;273.8060146;280.9439923;277.2216305;271.5376285;263.9487343;236.7572417;181.0828561;90.10508199;12.93547569;0;0;0
15;0;0;0;0;0;0;0.218730043;1.015583333;1.732351297;1.98080411;2.071030868;2.157306898;2.197183408;2.254462815;2.224592355;2.17898052;2.118082688;1.89988187;1.453117265;0.72305713;0.103802002;0;0;0
16;0;0;0;0;0;0;2.699987301;12.53628473;21.38401489;24.45089783;25.56465019;26.62963505;27.12186771;27.82892043;27.46020171;26.89717262;26.14545434;23.45199976;17.93717087;8.925363154;1.281324156;0;0;0
17;0;0;0;0;0;0;46.84897711;217.5240291;371.0459022;424.2610891;443.5864239;462.0655669;470.6065688;482.8750327;476.4771896;466.7077596;453.664279;406.9286546;311.2378;154.8689262;22.23296607;0;0;0
18;0;0;0;0;0;0;221.2186597;1027.138203;1752.061245;2003.340847;2094.594167;2181.851808;2222.182016;2280.113124;2249.90281;2203.772023;2142.181323;1921.49791;1469.650208;731.2837633;104.9830169;0;0;0
19;0;0;0;0;0;0;8.532720317;39.61819055;67.5795098;77.27172368;80.79149482;84.15714693;85.71274078;87.94722651;86.78197149;85.002641;82.62699953;74.11492444;56.68651191;28.20666137;4.049345215;0;0;0
