bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1118.15978;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1540.616551;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1054.948341;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2820.209624;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1451.734507;0;0;0;1;1;0;100;1;1.1;0.9
6;1;994.8814438;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1194.339643;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1446.026038;0;0;0;1;1;0;100;1;1.1;0.9
9;1;805.8476741;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1174.255337;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1218.726863;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1809.339347;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1439.75803;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2031.518693;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1096.825919;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2433.407994;0;0;0;1;1;0;100;1;1.1;0.9
17;1;717.6713329;0;0;0;1;1;0;100;1;1.1;0.9
18;1;816.4574078;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2535.275475;0;0;0;1;1;0;100;1;1.1;0.9
