bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0;Prr
1;0;0;100;-100;1;100;1;1330;832.8;0;22.1559;2352.25;1000
2;0;0;100;-100;1;100;1;3400;1360;0;47.03547239;287.0904679;2380
3;0;0;100;-100;1;100;1;100;40;0;46.81295034;287.0904679;70
4;0;0;100;-100;1;100;1;500;200;0;46.81385331;287.0904679;350
5;0;0;100;-100;1;100;1;1450;580;0;82.41347895;287.0904679;1015
6;0;0;100;-100;1;100;1;3500;1400;0;46.81308676;287.0904679;2450
7;0;0;100;-100;1;100;1;450;180;0;46.26824553;287.0904679;315
8;0;0;100;-100;1;100;1;2900;1160;0;49.96226159;287.0904679;2030
9;0;0;100;-100;1;100;1;2000;1400;0;14.02349695;2065.162234;1500
10;0;0;100;-100;1;100;1;120;48;0;46.81236195;287.0904679;84
11;0;0;100;-100;1;100;1;5580;2232;0;66.0263101;287.0904679;3906
12;0;0;100;-100;1;100;1;1500;600;0;46.81332681;287.0904679;1050
13;0;0;100;-100;1;100;1;4600;2740;0;25.505;2352.25;2920
14;0;0;100;-100;1;100;1;1100;740;0;17.0036;2352.25;750
15;0;0;100;-100;1;100;1;100;40;0;46.81348329;287.0904679;70
16;0;0;100;-100;1;100;1;3000;1200;0;46.8138716;287.0904679;2100
18;0;0;100;-100;1;100;1;100;40;0;46.81314153;287.0904679;70
19;0;0;100;-100;1;100;1;2650;1060;0;46.81345932;287.0904679;1855
