bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;336.3363898;0.95;0.95;168.1681949;168.1681949
2;0;205.4731404;0.95;0.95;102.7365702;102.7365702
3;0;205.4731404;0.95;0.95;102.7365702;102.7365702
4;0;11.57153431;0.95;0.95;5.785767153;5.785767153
5;0;244.0170072;0.95;0.95;122.0085036;122.0085036
6;0;139.0913138;0.95;0.95;69.5456569;69.5456569
7;0;115.6102766;0.95;0.95;57.80513831;57.80513831
8;0;205.4731404;0.95;0.95;102.7365702;102.7365702
9;0;530.2930357;0.95;0.95;265.1465178;265.1465178
10;0;115.6102766;0.95;0.95;57.80513831;57.80513831
11;0;183.9453391;0.95;0.95;91.97266956;91.97266956
12;0;123.1895359;0.95;0.95;61.59476796;61.59476796
13;0;30.12841606;0.95;0.95;15.06420803;15.06420803
14;0;62.51054398;0.95;0.95;31.25527199;31.25527199
15;0;1.064312347;0.95;0.95;0.532156174;0.532156174
16;0;8.137514911;0.95;0.95;4.068757456;4.068757456
17;0;115.6102766;0.95;0.95;57.80513831;57.80513831
18;0;336.3363898;0.95;0.95;168.1681949;168.1681949
19;0;30.12841606;0.95;0.95;15.06420803;15.06420803
