bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1102.134168;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1518.536234;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1039.828685;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2779.790013;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1430.928059;0;0;0;1;1;0;100;1;1.1;0.9
6;1;980.6226737;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1177.222212;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1425.301405;0;0;0;1;1;0;100;1;1.1;0.9
9;1;794.2981605;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1157.425757;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1201.259911;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1783.40766;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1419.12323;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2002.402703;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1081.106067;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2398.532074;0;0;0;1;1;0;100;1;1.1;0.9
17;1;707.3855741;0;0;0;1;1;0;100;1;1.1;0.9
18;1;804.7558341;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2498.939577;0;0;0;1;1;0;100;1;1.1;0.9
