bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;532.1074055;0.95;0.95;266.0537027;266.0537027
2;0;500.1505067;0.95;0.95;250.0752534;250.0752534
3;0;0;0.95;0.95;0;0
4;0;4.69869158;0.95;0.95;2.34934579;2.34934579
5;0;223.0038215;0.95;0.95;111.5019107;111.5019107
6;0;78.18312791;0.95;0.95;39.09156396;39.09156396
7;0;70.6526754;0.95;0.95;35.3263377;35.3263377
8;0;196.0874216;0.95;0.95;98.04371082;98.04371082
9;0;1345.487822;0.95;0.95;672.7439112;672.7439112
10;0;52.79750924;0.95;0.95;26.39875462;26.39875462
11;0;140.1405545;0.95;0.95;70.07027725;70.07027725
12;0;42.50108491;0.95;0.95;21.25054245;21.25054245
13;0;15.74076975;0.95;0.95;7.870384877;7.870384877
14;0;21.99708445;0.95;0.95;10.99854223;10.99854223
15;0;0.153321536;0.95;0.95;0.076660768;0.076660768
16;0;1.373216224;0.95;0.95;0.686608112;0.686608112
17;0;44.26301613;0.95;0.95;22.13150806;22.13150806
18;0;215.8194197;0.95;0.95;107.9097099;107.9097099
19;0;14.84255095;0.95;0.95;7.421275475;7.421275475
