bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;993.3456989;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1368.645924;0;0;0;1;1;0;100;1;1.1;0.9
3;1;937.1902087;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2505.404997;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1289.685298;0;0;0;1;1;0;100;1;1.1;0.9
6;1;883.8282516;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1061.022019;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1284.614034;0;0;0;1;1;0;100;1;1.1;0.9
9;1;715.8952911;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1043.179615;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1082.687027;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1607.372659;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1279.045689;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1804.751335;0;0;0;1;1;0;100;1;1.1;0.9
15;1;974.3932207;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2161.779925;0;0;0;1;1;0;100;1;1.1;0.9
17;1;637.5615943;0;0;0;1;1;0;100;1;1.1;0.9
18;1;725.3207181;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2252.276494;0;0;0;1;1;0;100;1;1.1;0.9
