bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;991.4888271;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1366.087499;0;0;0;1;1;0;100;1;1.1;0.9
3;1;935.4383089;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2500.721617;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1287.274475;0;0;0;1;1;0;100;1;1.1;0.9
6;1;882.1761019;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1059.03864;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1282.212691;0;0;0;1;1;0;100;1;1.1;0.9
9;1;714.5570603;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1041.229588;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1080.663148;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1604.36798;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1276.654755;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1801.377694;0;0;0;1;1;0;100;1;1.1;0.9
15;1;972.5717769;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2157.738886;0;0;0;1;1;0;100;1;1.1;0.9
17;1;636.3697935;0;0;0;1;1;0;100;1;1.1;0.9
18;1;723.9648683;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2248.06629;0;0;0;1;1;0;100;1;1.1;0.9
