bus;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h24
1;352.694339;314.3074273;286.937108;271.2369078;237.1757202;212.1938853;182.1861191;146.4988949;147.5569857;166.5170392;193.8562382;195.2255321;202.0642219;217.2431568;224.2685685;240.8323575;245.7415876;275.9827562;276.3250797;260.4148174;223.6695024;220.5341304;221.5611009;226.7737541
2;175.5761541;156.4666149;142.8412887;135.0255104;118.0693768;105.6330714;90.69478749;72.92919027;73.4559226;82.89450129;96.50433531;97.18598892;100.5903839;108.1466691;111.6440169;119.8897018;122.3335849;137.3880598;137.5584732;129.638123;111.3457935;109.7849616;110.2962018;112.8911332
3;175.5761541;156.4666149;142.8412887;135.0255104;118.0693768;105.6330714;90.69478749;72.92919027;73.4559226;82.89450129;96.50433531;97.18598892;100.5903839;108.1466691;111.6440169;119.8897018;122.3335849;137.3880598;137.5584732;129.638123;111.3457935;109.7849616;110.2962018;112.8911332
4;0.178410284;0.158992281;0.145147016;0.137205076;0.119975239;0.107338188;0.092158772;0.074106405;0.07464164;0.084232575;0.098062097;0.098754754;0.102214102;0.10989236;0.113446162;0.121824947;0.124308279;0.139605762;0.139778926;0.131730727;0.113143124;0.111557098;0.11207659;0.114713409
5;706.8670469;629.9323193;575.0769541;543.610744;475.3455965;425.2772117;365.1358974;293.611861;295.7324777;333.7320585;388.5250526;391.2693801;404.975425;435.3969195;449.4771909;482.6741984;492.5132364;553.1223338;553.8084156;521.9212008;448.2765476;441.9926613;444.0509069;454.4980629
6;27.94518088;24.90365434;22.73501017;21.49102951;18.79224492;16.81284855;14.43523042;11.60760938;11.69144554;13.19371553;15.35989394;15.46838779;16.01024061;17.21291963;17.76956707;19.08197282;19.47094794;21.86705934;21.89418281;20.63355821;17.72210101;17.47367474;17.55504513;17.9680615
7;327.8748749;292.1892897;266.745048;252.149687;220.4854203;197.2615829;169.3654941;136.1896167;137.1732486;154.7990635;180.2143749;181.4873102;187.8447544;201.955532;208.4865582;223.8847363;228.4484988;256.5615652;256.8797991;242.0891583;207.929649;205.0149164;205.9696179;210.8154513
8;175.5761541;156.4666149;142.8412887;135.0255104;118.0693768;105.6330714;90.69478749;72.92919027;73.4559226;82.89450129;96.50433531;97.18598892;100.5903839;108.1466691;111.6440169;119.8897018;122.3335849;137.3880598;137.5584732;129.638123;111.3457935;109.7849616;110.2962018;112.8911332
9;17.49599706;15.59174961;14.2339988;13.45516391;11.7655013;10.52623528;9.037649464;7.267324568;7.319812945;8.26035835;9.616565388;9.684491523;10.02373626;10.7767129;11.12522029;11.94689496;12.19042559;13.69058972;13.70757125;12.91831588;11.0955026;10.93996719;10.99091179;11.24949424
10;327.8748749;292.1892897;266.745048;252.149687;220.4854203;197.2615829;169.3654941;136.1896167;137.1732486;154.7990635;180.2143749;181.4873102;187.8447544;201.955532;208.4865582;223.8847363;228.4484988;256.5615652;256.8797991;242.0891583;207.929649;205.0149164;205.9696179;210.8154513
