bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1138.989038;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1569.315401;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1074.600087;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2872.744937;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1478.777648;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1013.414253;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1216.587992;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1472.96284;0;0;0;1;1;0;100;1;1.1;0.9
9;1;820.8591326;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1196.129552;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1241.429501;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1843.044008;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1466.578071;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2069.362146;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1117.257766;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2478.737905;0;0;0;1;1;0;100;1;1.1;0.9
17;1;731.0402285;0;0;0;1;1;0;100;1;1.1;0.9
18;1;831.6665061;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2582.502989;0;0;0;1;1;0;100;1;1.1;0.9
