bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;965.8559224;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1330.770116;0;0;0;1;1;0;100;1;1.1;0.9
3;1;911.2544751;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2436.070602;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1253.994641;0;0;0;1;1;0;100;1;1.1;0.9
6;1;859.3692529;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1031.659373;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1249.063719;0;0;0;1;1;0;100;1;1.1;0.9
9;1;696.083657;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1014.310739;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1052.724825;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1562.890345;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1243.649472;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1754.806778;0;0;0;1;1;0;100;1;1.1;0.9
15;1;947.4279336;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2101.954985;0;0;0;1;1;0;100;1;1.1;0.9
17;1;619.9177611;0;0;0;1;1;0;100;1;1.1;0.9
18;1;705.2482454;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2189.947159;0;0;0;1;1;0;100;1;1.1;0.9
