bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;2105.263158;0.95;0.95;1052.631579;1052.631579
2;0;2105.263158;0.95;0.95;1052.631579;1052.631579
3;0;2105.263158;0.95;0.95;1052.631579;1052.631579
4;0;2105.263158;0.95;0.95;1052.631579;1052.631579
5;0;2105.263158;0.95;0.95;1052.631579;1052.631579
6;0;2105.263158;0.95;0.95;1052.631579;1052.631579
7;0;2105.263158;0.95;0.95;1052.631579;1052.631579
8;0;2105.263158;0.95;0.95;1052.631579;1052.631579
9;0;2105.263158;0.95;0.95;1052.631579;1052.631579
10;0;2105.263158;0.95;0.95;1052.631579;1052.631579
11;0;2105.263158;0.95;0.95;1052.631579;1052.631579
12;0;2105.263158;0.95;0.95;1052.631579;1052.631579
13;0;2105.263158;0.95;0.95;1052.631579;1052.631579
14;0;2105.263158;0.95;0.95;1052.631579;1052.631579
15;0;2105.263158;0.95;0.95;1052.631579;1052.631579
16;0;2105.263158;0.95;0.95;1052.631579;1052.631579
17;0;2105.263158;0.95;0.95;1052.631579;1052.631579
18;0;2105.263158;0.95;0.95;1052.631579;1052.631579
19;0;2105.263158;0.95;0.95;1052.631579;1052.631579
