bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
10;235;60;120;0;1.03;168;1;400;70;0;117.95;0
16;420;200;440;-40;1.03;823;1;720;120;0;48.89;0
17;600;300;660;-60;1.03;1234;1;1080;120;0;98.47;0
18;1320;700;1540;-140;1;2879;1;2520;120;0;128.73;0
29;235;120;240;0;1.03;511;1;400;70;0;158.23;0
30;435;120;240;0;1.03;511;1;800;70;0;165.62;0
31;575;175;350;0;1;420;1;1000;150;0;71.22;0
41;135;60;120;0;1.03;241;1;200;70;0;102.25;0
42;240;60;120;0;1.03;241;1;410;70;0;147.83;0
43;240;120;240;0;1;482;1;410;70;0;75.37;0
44;240;120;240;0;1;482;1;410;70;0;86.01;0
45;40.67;10.5;21;0;1.03;49;1;42.2;39.14;0;0;0
63;397.5;151;302;0;1.03;473;1;650;145;0;68.74;0
64;297.5;156.5;311;2;1.03;475;1;450;145;0;81.91;0
67;485;224.5;449;0;1;864;1;750;220;0;81.88;0
83;182.5;50.5;190;-89;1.03;239;1;225;140;0;58.78;0
84;182.5;50.5;190;-89;1.03;251;1;225;140;0;85.57;0
85;80;37.5;125;-50;1.03;133;1;120;40;0;101.38;0
86;80;37.5;125;-50;1.03;133;1;120;40;0;122.43;0
93;100;47.5;90;5;1.03;123;1;120;80;0;96.62;0
95;80;47.5;68;27;1.03;105;1;110;50;0;106.73;0
97;85.43;47.5;68;27;1.03;105;1;87.6;83.26;0;0;0
103;280;47.5;177;-82;1.03;239;1;400;160;0;151.94;0
104;182.5;101;379;-177;1.03;490;1;225;140;0;107.51;0
105;295;94;353;-165;1;502;1;430;160;0;103.53;0
109;165;32.5;65;0;1.03;277;1;250;80;0;0;0
110;165;32.5;65;0;1.03;280;1;250;80;0;0;0
111;200;135;270;0;1.03;401;1;360;40;0;136.48;0
123;65;20;40;0;1.03;98;1;110;20;0;157.46;0
124;85;45;90;0;1.03;132;1;125;45;0;83.97;0
125;465;180;360;0;1.03;654;1;860;70;0;170.74;0
127;380;180;360;0;1;540;1;690;70;0;80.91;0
131;565;180;360;0;1.03;696;1;1060;70;0;147.6;0
132;335;240;480;0;1.03;732;1;600;70;0;158.75;0
139;335;180;360;0;1.03;714;1;600;70;0;146.94;0
140;135;60;120;0;1.03;240;1;200;70;0;96.32;0
176;335;50;220;-120;1;430;1;600;70;0;0;0
177;135;50;220;-120;1;430;1;200;70;0;0;0
180;0;0;50.5632;-50.5632;1;7485;1;0;0;0;0;0
181;174.5;0;78.4518;-78.4518;1.03;210;1;175;174;0;0;0
182;306.795;0;145.6185;-145.6185;1;13465;1;307.59;306;0;0;0
184;0;0;208.7361;-208.7361;1.03;8353;1;0;0;0;0;0
185;0;0;36.699;-36.699;1;14254;1;0;0;0;0;0
186;0;0;96.2922;-96.2922;1.03;7401;1;0;0;0;0;0
192;92.625;25;50;0;1.035;114;1;95;90.25;0;0;0
196;0.88;0.5;1;0;1.035;1;1;0.9;0.86;0;0;0
198;0.78;0.5;1;0;1.035;1;1;0.8;0.76;0;0;0
205;14.625;5;10;0;1.035;18;1;15;14.25;0;0;0
213;10.725;4;8;0;1.035;13;1;11;10.45;0;0;0
264;2.44;1;2;0;1.035;3;1;2.5;2.38;0;0;0
269;5.85;2.5;5;0;1.035;7;1;6;5.7;0;0;0
277;68.25;21;42;0;1.035;84;1;70;66.5;0;0;0
278;58.5;20;40;0;1.035;72;1;60;57;0;0;0
279;58.5;20;40;0;1.035;72;1;60;57;0;0;0
281;117;45;90;0;1.035;144;1;120;114;0;0;0
282;39;20;40;0;1.035;48;1;40;38;0;0;0
289;2.44;1.5;3;0;1.035;3;1;2.5;2.38;0;0;0
294;1.95;0.5;1;0;1.035;2;1;2;1.9;0;0;0
314;1.465;0.5;1;0;1.035;2;1;1.5;1.43;0;0;0
328;42.9;10.5;21;0;1.035;53;1;44;41.8;0;0;0
329;42.9;10.5;21;0;1.035;53;1;44;41.8;0;0;0
330;42.9;10.5;21;0;1.035;53;1;44;41.8;0;0;0
331;41.925;10.5;21;0;1.035;52;1;43;40.85;0;0;0
334;1.465;0.5;1;0;1.035;2;1;1.5;1.43;0;0;0
346;135;60;120;0;1.035;180;1;200;70;0;134.98;0
347;10;7.5;15;0;1.035;12;1;10;10;0;0;0
359;1.465;0.5;1;0;1.035;2;1;1.5;1.43;0;0;0
365;4.975;1.5;3;0;1.035;6;1;5.1;4.85;0;0;0
382;7.8;2.5;5;0;1.035;10;1;8;7.6;0;0;0
383;7.8;2.5;5;0;1.035;10;1;8;7.6;0;0;0
385;5.85;2;4;0;1.035;7;1;6;5.7;0;0;0
390;4.39;1.5;3;0;1.035;5;1;4.5;4.28;0;0;0
395;9.75;4;8;0;1.035;12;1;10;9.5;0;0;0
404;2.925;1.5;3;0;1.035;4;1;3;2.85;0;0;0
426;3.12;1;2;0;1.035;4;1;3.2;3.04;0;0;0
444;0.975;0.5;1;0;1.035;1;1;1;0.95;0;0;0
451;4.39;1.5;3;0;1.035;5;1;4.5;4.28;0;0;0
482;0.975;0.5;1;0;1.035;1;1;1;0.95;0;0;0
492;1.95;0.5;1;0;1.035;2;1;2;1.9;0;0;0
493;228.15;65;130;0;1.035;281;1;234;222.3;0;0;0
494;228.15;65;130;0;1.035;281;1;234;222.3;0;0;0
514;112.125;45;90;0;1.035;138;1;115;109.25;0;0;0
515;112.125;45;90;0;1.035;138;1;115;109.25;0;0;0
525;5.85;2;4;0;1.035;7;1;6;5.7;0;0;0
536;5.85;3;6;0;1.035;7;1;6;5.7;0;0;0
537;3.415;1.5;3;0;1.035;4;1;3.5;3.33;0;0;0
556;2.635;0.5;1;0;1.035;3;1;2.7;2.57;0;0;0
580;1.56;0.5;1;0;1.035;2;1;1.6;1.52;0;0;0
584;2.635;1;2;0;1.035;3;1;2.7;2.57;0;0;0
585;3.9;1;2;0;1.035;5;1;4;3.8;0;0;0
607;0.78;0;0;0;1.035;1;1;0.8;0.76;0;0;0
612;135;60;120;0;1.035;256;1;200;70;0;142.94;0
613;135;60;120;0;1.035;256;1;200;70;0;128.22;0
615;1.365;0.5;1;0;1.035;2;1;1.4;1.33;0;0;0
623;7.41;2.5;5;0;1.035;9;1;7.6;7.22;0;0;0
639;9.36;2;4;0;1.035;12;1;9.6;9.12;0;0;0
651;4.585;1;2;0;1.035;6;1;4.7;4.47;0;0;0
654;1.365;0.5;1;0;1.035;2;1;1.4;1.33;0;0;0
664;6.045;3;6;0;1.035;7;1;6.2;5.89;0;0;0
670;2.635;1;2;0;1.035;3;1;2.7;2.57;0;0;0
674;0.975;0;0;0;1.035;1;1;1;0.95;0;0;0
688;136;60;120;0;1.035;242;1;202;70;0;141.73;0
692;1.365;0.5;1;0;1.035;2;1;1.4;1.33;0;0;0
699;3.705;1;2;0;1.035;5;1;3.8;3.61;0;0;0
712;1.17;0.5;1;0;1.035;1;1;1.2;1.14;0;0;0
730;6.73;1.5;3;0;1.035;8;1;6.9;6.56;0;0;0
732;1.075;0.5;1;0;1.035;1;1;1.1;1.05;0;0;0
735;4;1;2;0;1.035;5;1;4.1;3.9;0;0;0
740;3.9;0.5;1;0;1.035;5;1;4;3.8;0;0;0
744;130.65;30;60;0;1.035;161;1;134;127.3;0;0;0
754;45;15;30;0;1.035;54;1;80;10;0;100.82;0
755;167.5;40;80;0;1.035;110;1;250;85;0;151.9;0
760;3.025;1;2;0;1.035;4;1;3.1;2.95;0;0;0
