fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
16;1;0.00155;0.01169;0.0182;160;160;160;0;0;1;-30;30
355;1;0.00157;0.06612;0;160;160;160;1.0099;0;1;-30;30
17;2;0.00155;0.01169;0.0182;160;160;160;0;0;1;-30;30
354;2;0.00157;0.06612;0;160;160;160;1.022;0;1;-30;30
10;3;0.01068;0.07895;0.1226;274;274;274;0;0;1;-30;30
219;3;0.00165;0.06736;0;160;160;160;1.027;0;1;-30;30
220;3;0.00165;0.06736;0;160;160;160;0.9955;0;1;-30;30
7;4;0.01674;0.09711;0.14423;377;377;377;0;0;1;-30;30
11;4;0.00293;0.01599;0.02478;335;335;335;0;0;1;-30;30
14;4;0.00442;0.03223;0.04985;464;464;464;0;0;1;-30;30
16;4;0.00888;0.06665;0.08896;377;377;377;0;0;1;-30;30
22;4;0.00783;0.043;0.04962;350;350;350;0;0;1;-30;30
245;4;0.00165;0.06901;0;160;160;160;1.0594;0;1;-30;30
246;4;0.00165;0.06901;0;160;160;160;1.0448;0;1;-30;30
5;6;0.00064;0.0305;0;400;400;400;1.0435;0.6;1;-30;30
7;5;0.00525;0.03988;0.06195;381;381;381;0;0;1;-30;30
10;5;0.01459;0.11219;0.16553;381;381;381;0;0;1;-30;30
309;5;0.00165;0.0686;0;160;160;160;1.0646;0;1;-30;30
309;5;0.00165;0.0686;0;160;160;160;1.0523;0;1;-30;30
6;8;0.00112;0.01329;0.34125;1316;1316;1316;0;0;1;-30;30
6;9;0.00299;0.03675;0.9184;1427;1427;1427;0;0;1;-30;30
15;6;0.00298;0.03417;0.93504;1427;1427;1427;0;0;1;-30;30
31;6;0.0015;0.01506;0.4032;1385;1385;1385;0;0;1;-30;30
310;6;0.0015;0.06188;0;250;250;250;1.0613;0;1;-30;30
12;7;0.01211;0.08742;0.14017;381;381;381;0;0;1;-30;30
13;7;0.00205;0.01326;0.02243;335;335;335;0;0;1;-30;30
19;7;0.0057;0.0407;0.06021;323;323;323;0;0;1;-30;30
21;7;0.00093;0.00651;0.01113;160;160;160;0;0;1;-30;30
29;7;0.01269;0.07498;0.1302;362;362;362;0;0;1;-30;30
321;7;0.00041;0.03368;0;250;250;250;1.0323;0;1;-30;30
322;7;0.00165;0.06775;0;160;160;160;1.0569;0;1;-30;30
8;18;0.00336;0.03977;1.02163;1316;1316;1316;0;0;1;-30;30
332;9;0.00087;0.05244;-0.02144;330;330;330;1.0781;0;1;-30;30
171;10;0.01409;0.10413;0.15972;464;464;464;0;0;1;-30;30
346;10;0.00124;0.06839;0;160;160;160;1.0054;0;1;-30;30
347;10;0.00124;0.06839;0;160;160;160;1.024;0;1;-30;30
16;11;0.0057;0.03952;0.07553;464;464;464;0;0;1;-30;30
17;11;0.0057;0.03952;0.07553;464;464;464;0;0;1;-30;30
111;11;0.01068;0.06196;0.09496;394;394;394;0;0;1;-30;30
352;11;0.00165;0.06901;0;160;160;160;1.0412;0;1;-30;30
353;11;0.00165;0.06901;0;160;160;160;1.0559;0;1;-30;30
140;12;0.01465;0.10589;0.17085;464;464;464;0;0;1;-30;30
359;12;0.00155;0.06612;0;160;160;160;1.0395;0;1;-30;30
360;12;0.00157;0.06612;0;160;160;160;1.059;0;1;-30;30
29;13;0.01345;0.08114;0.14113;339;339;339;0;0;1;-30;30
365;13;0.00165;0.06901;0;160;160;160;1.0312;0;1;-30;30
366;13;0.00165;0.06901;0;160;160;160;0.9872;0;1;-30;30
17;14;0.00384;0.02853;0.04588;464;464;464;0;0;1;-30;30
367;14;0.00157;0.06798;0;160;160;160;1.0664;0;1;-30;30
368;14;0.00165;0.06901;0;160;160;160;1.0777;0;1;-30;30
18;15;0.00358;0.04262;1.0944;1662;1662;1662;0;0;1;-30;30
15;165;0.00207;0.02474;0.664;831;831;831;0;0;1;-30;30
374;15;0.0015;0.06188;0;250;250;250;1.1502;0;1;-30;30
16;18;0.00036;0.02519;0;500;500;500;1.0605;0;1;-30;30
16;73;0.00909;0.0624;0.11142;464;464;464;0;0;1;-30;30
17;18;0.00036;0.02519;0;500;500;500;1.0607;0;1;-30;30
17;74;0.00868;0.06405;0.09699;464;464;464;0;0;1;-30;30
20;18;0.00063;0.00749;0.39226;1427;1427;1427;0;0;1;-30;30
75;18;0.00219;0.02369;0.59584;1434;1434;1434;0;0;1;-30;30
18;76;0.00137;0.01625;0.41184;1662;1662;1662;0;0;1;-30;30
18;101;0.00231;0.02769;0.70144;1662;1662;1662;0;0;1;-30;30
124;19;0.01696;0.12366;0.19699;464;464;464;0;0;1;-30;30
425;19;0.00165;0.06818;0;160;160;160;1.0241;0;1;-30;30
67;20;0.00331;0.03425;0.85888;831;831;831;0;0;1;-30;30
447;20;0.00137;0.06119;-0.01504;250;250;250;1.0796;0;1;-30;30
448;20;0.00137;0.06119;-0.01504;250;250;250;1.0923;0;1;-30;30
502;21;0.00165;0.07107;0;160;160;160;0.9922;0;1;-30;30
112;22;0.00465;0.02618;0.02962;362;362;362;0;0;1;-30;30
526;22;0.00165;0.06901;0;160;160;160;1.0685;0;1;-30;30
527;22;0.00165;0.06901;0;160;160;160;1.0424;0;1;-30;30
37;23;0.01163;0.07031;0.1058;394;394;394;0;0;1;-30;30
46;23;0.00837;0.04868;0.07348;457;457;457;0;0;1;-30;30
53;23;0.01122;0.06558;0.09835;274;274;274;0;0;1;-30;30
540;23;0.0014;0.0668;0;160;160;160;1.0182;0;1;-30;30
54;24;0.00769;0.05727;0.08789;160;160;160;0;0;1;-30;30
545;24;0.00151;0.06715;0;160;160;160;1.0161;0;1;-30;30
41;25;0.00556;0.04145;0.0636;274;274;274;0;0;1;-30;30
53;25;0.00452;0.03368;0.05169;464;464;464;0;0;1;-30;30
54;25;0.00019;0.0014;0.00213;464;464;464;0;0;1;-30;30
564;25;0.00157;0.07808;0;160;160;160;1.0276;0;1;-30;30
38;26;0.00698;0.05196;0.07967;160;160;160;0;0;1;-30;30
568;26;0.00149;0.06616;0;160;160;160;1.013;0;1;-30;30
28;27;0;0.0001;0;876;876;876;0;0;1;-30;30
33;27;0.0024;0.01494;0.02253;160;160;160;0;0;1;-30;30
48;27;0.01213;0.06215;0.09371;362;362;362;0;0;1;-30;30
27;74;0.01116;0.07231;0.10367;304;304;304;0;0;1;-30;30
47;28;0.00248;0.01798;0.02759;464;464;464;0;0;1;-30;30
28;88;0.01488;0.08161;0.1148;362;362;362;0;0;1;-30;30
30;29;0;0.0001;0;876;876;876;0;0;1;-30;30
29;32;0.00034;0.02097;0;500;500;500;1.0619;0;1;-30;30
45;29;0.00545;0.04021;0.06699;464;464;464;0;0;1;-30;30
48;29;0.00574;0.04283;0.06573;464;464;464;0;0;1;-30;30
613;29;0.00157;0.06775;0;160;160;160;1.0016;0;1;-30;30
46;30;0.00545;0.04021;0.06699;464;464;464;0;0;1;-30;30
49;30;0.00707;0.04541;0.06931;362;362;362;0;0;1;-30;30
32;31;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
39;31;0.00176;0.02144;0.57344;1385;1385;1385;0;0;1;-30;30
36;32;0.00167;0.0189;0.54176;498;498;498;0;0;1;-30;30
615;33;0.00163;0.06946;0;160;160;160;1.0291;0;1;-30;30
35;34;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
34;51;0.00113;0.01406;0.37488;1385;1385;1385;0;0;1;-30;30
183;34;0.00188;0.02287;0.6432;1385;1385;1385;0;0;1;-30;30
183;35;0.00188;0.02287;0.6432;1385;1385;1385;0;0;1;-30;30
617;35;0.00135;0.06052;0;250;250;250;1.0654;0;1;-30;30
644;36;0.00135;0.06052;0;250;250;250;1.1003;0;1;-30;30
645;36;0.00153;0.06156;0;250;250;250;1.0971;0;1;-30;30
38;37;0;0.0001;0;876;876;876;0;0;1;-30;30
663;37;0.00157;0.06616;0;160;160;160;1.0009;0;1;-30;30
55;38;0.00316;0.02076;0.03146;394;394;394;0;0;1;-30;30
40;39;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
682;39;0.00139;0.05984;0;250;250;250;1.0603;0;1;-30;30
44;40;0.00109;0.01277;0.34176;1385;1385;1385;0;0;1;-30;30
679;40;0.0014;0.06235;0;250;250;250;1.0996;0;1;-30;30
42;41;0;0.0001;0;876;876;876;0;0;1;-30;30
41;43;0.00081;0.03;0;400;400;400;1.0377;0;1;-30;30
80;41;0.00372;0.0438;0.10096;609;609;609;0;0;1;-30;30
47;42;0.00882;0.06564;0.10066;274;274;274;0;0;1;-30;30
54;42;0.00355;0.02643;0.04056;392;392;392;0;0;1;-30;30
689;42;0.00145;0.06839;0;160;160;160;1.0037;0;1;-30;30
44;43;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
99;43;0.00169;0.01994;0.50624;831;831;831;0;0;1;-30;30
50;44;0.00094;0.01097;0.29376;1662;1662;1662;0;0;1;-30;30
46;45;0;0.0001;0;876;876;876;0;0;1;-30;30
49;45;0.01048;0.06097;0.09205;394;394;394;0;0;1;-30;30
706;47;0.00157;0.06775;0;160;160;160;1.0249;0;1;-30;30
707;47;0.00165;0.06775;0;160;160;160;1.0201;0;1;-30;30
49;48;0;0.0001;0;876;876;876;0;0;1;-30;30
717;48;0.00163;0.06783;0;160;160;160;1.023;0;1;-30;30
716;49;0.00143;0.06831;0;160;160;160;1.0238;0;1;-30;30
51;50;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
98;50;0.0015;0.01788;0.4512;831;831;831;0;0;1;-30;30
100;50;0.00469;0.05544;1.4048;831;831;831;0;0;1;-30;30
726;50;0.00139;0.0608;0;250;250;250;1.0815;0;1;-30;30
727;51;0.0014;0.06235;0;250;250;250;1.0819;0;1;-30;30
53;52;0.00151;0.00878;0.01316;160;160;160;0;0;1;-30;30
754;52;0.00163;0.06754;0;160;160;160;1.0317;0;1;-30;30
181;55;0.01434;0.08353;0.12603;394;394;394;0;0;1;-30;30
778;55;0.00161;0.06762;0;160;160;160;0.9979;0;1;-30;30
74;56;0.00207;0.01281;0.02052;394;394;394;0;0;1;-30;30
796;56;0.00207;0.06777;-0.003;160;160;160;1.0389;0;1;-30;30
81;57;0.00083;0.00496;0.00726;137;137;137;0;0;1;-30;30
80;58;0.00083;0.00496;0.00726;137;137;137;0;0;1;-30;30
63;59;0.00207;0.01405;0.02265;362;362;362;0;0;1;-30;30
82;59;0.01116;0.07045;0.11606;362;362;362;0;0;1;-30;30
821;59;0.00165;0.06798;-0.00319;160;160;160;1.0178;0;1;-30;30
60;85;0.01095;0.0593;0.08441;362;362;362;0;0;1;-30;30
104;60;0.00599;0.04091;0.07212;464;464;464;0;0;1;-30;30
