bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
30;520;270;400;140;1;100;1;1040;0;0;6.724778;0
31;323;100;300;-100;1;100;1;646;0;0;14.707625;0
32;362.5;225;300;150;1;100;1;725;0;0;24.804734;0
33;326;125;250;0;1;100;1;652;0;0;34.844643;0
34;254;83.5;167;0;1;100;1;508;0;0;24.652994;0
35;343.5;100;300;-100;1;100;1;687;0;0;32.306483;0
36;290;120;240;0;1;100;1;580;0;0;18.157477;0
37;282;125;250;0;1;100;1;564;0;0;31.550181;0
38;432.5;75;300;-150;1;100;1;865;0;0;22.503168;0
39;550;100;300;-100;1;100;1;1100;0;0;27.434444;0
