hour;operation_cost
1;829403.8386254568
2;954635.8781480279
3;961054.7988892336
4;978589.2235287437
5;978907.8298355745
6;994484.9756079108
7;926882.1089050794
8;708937.6416364388
9;675767.7414501999
10;675884.3083617113
11;678499.300251732
12;675767.7414501999
13;675767.7414501999
14;675767.7414501999
15;675767.7414501999
16;675767.7414501999
17;675767.7414501999
18;675767.7414501999
19;675767.7414501999
20;675767.7414501999
21;675767.7414501999
22;675767.7414501999
23;675767.7414501999
24;675767.7414501999
-1;1.8148028284092706e7
