hour;bus;P_curtailment
1;1;570.124
1;2;0.0
1;3;0.0
1;4;0.288
1;5;0.0
1;6;0.0
1;7;0.0
1;8;0.0
1;9;0.0
1;10;530.004
1;11;508.919
1;12;705.477
1;13;0.0
1;14;264.533
1;15;7.312
1;16;44.144
1;17;0.0
1;18;0.0
1;19;0.0
2;1;526.867
2;2;0.0
2;3;0.0
2;4;0.267
2;5;1.618
2;6;0.0
2;7;0.0
2;8;0.0
2;9;0.0
2;10;489.791
2;11;0.0
2;12;0.0
2;13;0.0
2;14;0.0
2;15;6.757
2;16;13.501
2;17;0.0
2;18;0.0
2;19;0.0
3;1;526.541
3;2;0.0
3;3;270.415
3;4;0.0
3;5;0.0
3;6;0.0
3;7;0.0
3;8;270.415
3;9;0.0
3;10;93.463
3;11;0.0
3;12;0.0
3;13;0.0
3;14;0.0
3;15;6.966
3;16;0.0
3;17;0.0
3;18;0.0
3;19;0.0
4;1;514.617
4;2;0.0
4;3;260.461
4;4;0.0
4;5;0.0
4;6;0.0
4;7;0.0
4;8;0.0
4;9;0.0
4;10;0.0
4;11;0.0
4;12;0.0
4;13;165.361
4;14;0.0
4;15;0.0
4;16;0.0
4;17;0.0
4;18;0.0
4;19;165.361
5;1;207.195
5;2;118.168
5;3;0.0
5;4;0.0
5;5;0.0
5;6;0.0
5;7;0.0
5;8;0.0
5;9;0.0
5;10;0.0
5;11;0.0
5;12;0.0
5;13;0.0
5;14;225.437
5;15;0.0
5;16;0.0
5;17;0.0
5;18;0.0
5;19;0.0
6;1;160.459
6;2;0.0
6;3;0.0
6;4;0.0
6;5;0.0
6;6;0.0
6;7;0.0
6;8;0.0
6;9;0.0
6;10;0.0
6;11;0.0
6;12;0.0
6;13;0.0
6;14;0.0
6;15;0.0
6;16;0.0
6;17;0.0
6;18;0.0
6;19;0.0
7;1;500.882
7;2;0.0
7;3;249.346
7;4;0.0
7;5;0.0
7;6;0.0
7;7;0.0
7;8;249.346
7;9;0.0
7;10;26.414
7;11;0.0
7;12;0.0
7;13;158.304
7;14;0.0
7;15;6.424
7;16;38.782
7;17;0.0
7;18;0.0
7;19;158.304
8;1;542.441
8;2;0.0
8;3;0.0
8;4;0.0
8;5;96.102
8;6;0.0
8;7;291.021
8;8;0.0
8;9;0.0
8;10;482.645
8;11;187.091
8;12;0.0
8;13;0.0
8;14;241.423
8;15;6.6
8;16;40.036
8;17;0.0
8;18;542.441
8;19;0.0
9;1;852.615
9;2;486.662
9;3;486.662
9;4;4.753
9;5;0.0
9;6;251.464
9;7;0.0
9;8;486.662
9;9;0.0
9;10;470.311
9;11;91.435
9;12;0.0
9;13;0.0
9;14;0.0
9;15;5.62
9;16;0.0
9;17;0.0
9;18;852.615
9;19;0.0
10;1;1511.685
10;2;904.21
10;3;0.0
10;4;46.224
10;5;1201.212
10;6;568.101
10;7;0.0
10;8;0.0
10;9;2122.83
10;10;619.605
10;11;951.292
10;12;0.0
10;13;174.063
10;14;328.423
10;15;6.432
10;16;45.659
10;17;0.0
10;18;0.0
10;19;174.063
11;1;1260.476
11;2;282.89
11;3;0.0
11;4;62.893
11;5;831.73
11;6;0.0
11;7;640.175
11;8;1123.021
11;9;2882.547
11;10;246.328
11;11;659.296
11;12;694.721
11;13;167.775
11;14;0.0
11;15;0.0
11;16;0.0
11;17;640.175
11;18;0.0
11;19;167.775
12;1;1519.504
12;2;1079.249
12;3;1079.249
12;4;0.0
12;5;37.121
12;6;757.232
12;7;540.078
12;8;1079.249
12;9;434.949
12;10;540.078
12;11;880.243
12;12;473.745
12;13;133.116
12;14;296.018
12;15;4.531
12;16;36.774
12;17;540.078
12;18;1747.466
